Number,Vendor,Length,Width,Height,Price,Description,Weight
5016709AD,Crown,11.00,6.00,5.75,98.33,"Multifunction Switch",1.20
J8133255,Crown,4.00,4.00,1.75,10,"Crankshaft Thrust Bearing Set",0.50
JA001126,Crown,1.50,1.00,0.50,5.25,Draincock,0.10
J5352421,Crown,33.00,4.00,3.00,81.67,"Drag Link Assembly",9.20
RT26070,Crown,7.25,3.75,2.00,38.33,"Hood Lock",1.00
J0923896,Crown,2.50,2.50,0.50,3.33,"Output Seal",0.10
J0131018,Crown,1.75,1.75,0.25,0.33,Washer,0.10
J4004913,Crown,1.50,1.50,0.25,1.25,Washer,0.06
JA000867,Crown,2.50,2.50,0.25,1.67,"Lock Washer",0.10
JA000865,Crown,2.25,2.25,0.25,1.67,"Lock Washer",0.10
119597,Crown,7.00,2.25,2.00,63.33,"Starter Drive",1.70
J8134293,Crown,46.00,6.00,4.00,225,"Axle Shaft Assembly",16.90
T150GS,Crown,12.00,9.00,0.50,8.33,"Transmission Gasket & Seal Kit",0.40
8997109CJ8,Crown,46.50,26.00,5.00,125,"Fender Flare Kit",9.00
56028996AA,Crown,3.25,3.25,1.50,43.33,"Oxygen Sensor",0.20
4746936,Crown,3.50,3.50,1.25,40.83,"Universal Joint",1.40
4762495,Crown,5.00,4.75,4.50,38.33,"CV Joint Boot Kit",0.80
55111017AB,Crown,2.25,2.25,2.25,19.17,Thermostat,0.10
4782518AG,Crown,26.00,20.00,5.00,53.33,"Power Steering Pressure Hose",1.80
55366676AC,Crown,4.00,4.00,4.00,21.67,"Body Mount",1.30
J0941061,Crown,2.00,2.00,0.50,5.83,"Cluster Gear Thrust Washer",0.10
55037969AB,Crown,29.25,28.25,9.00,266.67,"Cooling Fan Module",13.00
6505832AA,Crown,1.50,0.75,0.75,1.75,Bolt,0.10
SB30036,Crown,12.50,12.00,5.00,58.75,"Soft Top Storage Sleeve",3.30
J8136618,Crown,3.00,6.00,3.25,53.33,"Brake Master Cylinder",4.10
5354689MK,Crown,14.00,13.75,3.25,261.67,"Clutch Kit",23.00
4677695AA,Crown,37.00,19.00,6.25,200,"Cooling Fan Module",15.10
4779438AB,Crown,14.00,14.00,3.00,80,"Brake Rotor",24.00
J0944817,Crown,11.00,9.50,0.50,6,"Transmission Gasket & Seal Kit",0.10
J8134471,Crown,7.00,6.00,2.25,136.67,"Transfer Case Chain",4.80
HC4,Crown,5.00,3.00,1.50,9.5,"Hood Catch Kit",0.40
68029887AA,Crown,9.50,4.00,3.25,48.33,"Brake Pad Set",3.10
5080047AB,Crown,5.25,0.50,0.50,28.33,"Glow Plug",0.06
RT28057,Crown,9.00,8.00,2.00,225,"LED Headlight Bulb Kit",1.38
J4486286,Crown,5.25,2.75,2.50,75,"Camshaft Bearing Set",0.50
BT30037,Crown,12.00,11.00,3.50,48.45,"Beach Topper",3.44
J8122495,Crown,2.50,2.50,4.00,20,"Ball Joint",1.40
56028995AA,Crown,3.25,3.25,1.50,46.67,"Oxygen Sensor",0.30
4806271AA,Crown,1.00,0.50,0.50,2.67,"Retainer Grommet",0.06
J8120325,Crown,5.50,5.00,2.25,75,"Differential Clutch Kit",1.50
RT31024,Crown,16.00,15.50,10.50,475,"HD Brake Booster Kit",20.00
83505426,Crown,24.00,2.00,1.00,5,"Wiper Blade",0.20
4659237,Crown,3.25,3.25,1.00,9,"Differential Carrier Bearing Cup",0.30
RT10535T,Crown,32.00,10.00,10.00,606.98,"Replacement Soft Top",16.00
3723148,Crown,3.75,3.75,1.00,23.33,"Differential Carrier Bearing Cup",0.40
RT26038,Crown,8.75,8.00,3.50,108.33,"Fuel Door",1.10
J0639104,Crown,0.50,0.50,0.50,0.4,"Shift Ball",0.02
5352476K,Crown,16.00,16.00,10.75,225,"Drum Service Kit",49.00
CC10509,Crown,12.75,9.25,7.50,48.45,"Cab Cover",3.88
J0642757,Crown,0.75,0.75,0.50,0.58,"Shift Rail Cap",0.02
D20MASKIT,Crown,13.00,12.00,1.50,216.67,"Transfer Case Overhaul Kit",6.00
D3044YOKEUBK,Crown,4.25,4.25,4.25,68.33,"Yoke Kit",2.60
5012438AA,Crown,5.25,5.00,5.00,103.33,"Axle Shaft",2.50
RT26018,Crown,7.00,4.00,3.00,22.5,"Tailgate Tire Stop",0.80
J0640945,Crown,2.00,2.00,0.12,0.75,"Axle Shaft Washer",0.10
52089018AE,Crown,5.00,5.00,5.00,250,"Power Steering Pump",3.40
4728546,Crown,2.50,1.25,0.12,4.83,"Drum Brake Adjuster Lever",0.10
CT20135,Crown,50.00,30.00,9.50,925.7,"Complete Top",74.00
TK15,Crown,14.00,10.00,5.50,65,"Tune Up Kit",3.00
J8126753,Crown,5.50,5.00,2.00,5.83,"Wheel Cylinder Rebuild Kit",0.10
J3204875,Crown,0.75,0.75,0.50,4.17,"Steering Shaft Coupling Bearing",0.10
J0052879,Crown,3.25,3.25,1.25,16.5,"Pinion Bearing Cup",0.40
5013984AA,Crown,8.00,8.00,1.00,28.33,"Hard Top Wiring Connector Kit",0.40
RT31037,Crown,18.00,13.25,8.00,475,"HD Brake Booster Kit",17.40
5066549AB,Crown,16.00,11.00,3.50,233.33,"Evaporator Core",4.90
68397156AA,Crown,29.50,6.00,5.75,450,"Axle Shaft Assembly",17.20
JA000795,Crown,2.50,2.50,0.12,1.08,"Differential Side Gear Thrust Washer",0.10
RT28047,Crown,4.50,4.50,2.50,40,"LED Fog Lamp Bulb Kit",0.31
JA001395,Crown,3.25,3.25,1.25,2,"Generator Support Bushing Set",0.10
J0636565,Crown,3.00,3.00,0.12,1.58,"Pinion Gasket",0.02
J8124051,Crown,3.25,3.25,1.25,73.33,"Pinion Bearing Set",1.50
J3210203,Crown,9.50,0.50,0.50,1.65,"Push Rod",0.10
4746979,Crown,3.25,3.50,1.50,40,"Pinion Bearing Kit",1.40
4721515AD,Crown,6.50,6.50,6.50,158.33,"Hub Assembly",8.60
J0935758,Crown,3.25,3.25,1.25,30,"Small Parts Kit",0.80
RT28059,Crown,9.00,8.00,2.00,81.67,"LED Headlight Bulb Kit",1.19
56045043AG,Crown,3.50,1.75,1.25,14.17,"Brake Light Switch",0.10
J8130750,Crown,3.50,3.50,1.25,26.67,"Universal Joint",1.10
T90BSG,Crown,12.75,12.00,1.50,50,"Transmission Overhaul Kit",2.90
BT40037,Crown,12.00,11.00,3.75,48.45,"Beach Topper",3.69
5012454AB,Crown,3.25,3.25,0.50,8.25,"Pinion Seal",0.30
T4MASKIT,Crown,6.50,6.00,3.00,233.33,"Transmission Master Overhaul Kit",3.40
J3197636,Crown,22.00,11.00,3.00,20,"Cylinder Head Gasket",0.40
RT34101,Crown,12.25,3.50,2.50,125,"Tailgate Hinge Set",5.40
TK12,Crown,14.00,10.00,5.50,61.67,"Tune Up Kit",4.00
J0120751,Crown,3.25,3.00,2.00,5.42,"Transfer Case Output Seal Kit",0.30
RT28067,Crown,3.25,3.25,1.50,31.67,"LED Bulb Kit",0.13
J0640411,Crown,2.25,2.25,0.12,1.67,"Thrust Washer",0.10
5056203AD,Crown,12.00,0.50,0.50,31.67,"Decklid Support",0.25
J5356500,Crown,28.50,6.00,4.25,575,"Drive Shaft",10.30
RT31017,Crown,18.00,13.00,8.00,475,"HD Brake Booster Kit",20.00
J8134037,Crown,1.50,1.50,0.13,4.33,"Cluster Gear Thrust Washer Race",0.10
J0640893,Crown,3.00,3.00,0.12,0.83,"Input Bearing Retainer Washer",0.10
RT21052,Crown,34.50,4.00,2.25,300,"HD Track Bar",9.00
4884690AA,Crown,3.75,3.50,1.75,30,"Exhaust Valve",0.13
5174001AA,Crown,9.75,4.00,3.25,48.33,"Brake Pad Set",4.60
RT34025,Crown,50.75,5.00,1.75,65,"Bumper Overlay",3.60
68144219AE,Crown,11.00,4.00,3.00,7.84,"Fascia Bracket",0.40
52059226KL,Crown,12.50,8.50,2.75,128.33,"Engine Mount Kit",21.00
J0641775,Crown,11.50,4.00,2.00,65,"Connecting Rod",2.20
5135014AA,Crown,4.00,4.00,4.00,30,"Cv Joint Boot Kit",0.70
J0800986,Crown,0.25,0.50,0.50,0.37,"Valve Seal",0.10
4581161,Crown,1.75,1.50,1.25,2.83,"Sway Bar Bushing",0.10
4891967AC,Crown,8.75,6.75,6.75,30.83,"Air Filter",1.00
4743095AA,Crown,3.00,3.00,3.00,14.17,"Control Arm Bushing",0.90
RT26071,Crown,5.00,3.50,2.50,35,"Hood Lock",0.40
J8134246,Crown,22.00,1.00,1.00,12,"Power Window Flex Rack",0.10
J8134270,Crown,12.50,7.50,5.50,75,"Brake Master Cylinder",8.60
RT33020,Crown,9.00,5.00,1.75,15,"Recovery Gloves",0.19
4857040AB,Crown,19.50,11.00,7.00,133.33,Headlight,5.30
53032800AA,Crown,2.50,2.00,1.00,6.33,"PCV Valve",0.10
4857700AB,Crown,18.25,13.25,8.00,150,Headlight,5.30
5175980K,Crown,5.25,3.50,1.75,60,"Crankshaft Main Bearing Set",0.70
56041887AA,Crown,3.75,3.50,1.75,63.33,"Oxygen Sensor",0.30
AXGS,Crown,0.50,0.50,0.50,10.83,"Transmission Gasket & Seal Kit",0.40
4608303,Crown,3.25,1.25,1.25,12.5,"Oil Pressure Switch",0.13
J0923301,Crown,12.00,9.50,1.00,5,"Transmission Gasket Set",0.20
JA001001,Crown,1.00,1.00,0.12,1.83,"Intermediate Shaft Lock Plate",0.10
A6747,Crown,7.25,3.75,2.25,108.33,"Crankshaft Main Bearing Set",1.00
J0998350,Crown,2.25,0.50,0.50,2.67,"Drum Brake Adjuster Nut",0.10
3507898AB,Crown,3.50,3.25,1.25,26.67,"Axle Shaft Bearing",0.50
5AHK6,Crown,46.00,26.00,5.00,108.33,"Fender Flare Kit",12.00
RT10215T,Crown,35.00,9.50,9.50,380,"Replacement Soft Top",15.00
SCP20130,Crown,21.50,19.50,3.50,59.99,"Seat Cover Set",2.81
H0061628,Crown,14.75,7.50,6.50,14.83,"Radiator Hose",1.10
J3209971,Crown,3.25,3.25,1.50,25,"Synchronizer Blocking Ring Set",0.60
552549197,Crown,51.00,26.50,7.50,70,"Fender Flare",11.50
4792752AE,Crown,15.75,6.50,0.12,43.33,"Cylinder Head Gasket",0.88
4856370,Crown,2.25,2.25,0.25,28.33,"Pinion Shim Set",0.10
J8126691,Crown,8.00,4.00,4.00,115,"Blower Motor",2.70
AX5LMASKIT,Crown,13.00,11.00,2.50,400,"Transmission Master Overhaul Kit",5.20
4617210,Crown,1.25,3.25,3.25,93.33,"Governor Solenoid",0.20
H0061538,Crown,20.00,11.00,4.25,20.67,"Radiator Hose",1.50
83502652,Crown,1.50,0.75,0.50,21.67,"Transfer Case Switch",0.10
4509774,Crown,15.00,14.00,4.75,200,"Control Arm",9.40
J0938111,Crown,4.00,1.00,0.50,7.67,"Brake Shoe Return Spring",0.10
4782666AE,Crown,12.75,12.25,5.00,96.67,"Control Arm",6.60
4860068AD,Crown,18.00,3.50,2.00,27.5,"Brake Hose",0.50
J8130974,Crown,2.25,2.25,0.12,1.25,"Speedometer Gear Snap Ring",0.10
J8125847,Crown,12.00,9.50,4.00,36.67,"Brake Shoe Set",6.00
J0644340,Crown,2.75,0.25,0.25,1.58,"Axle Hub Key",0.10
RT10337,Crown,36.00,9.50,9.25,430.55,"Replacement Soft Top",21.30
BRT10037,Crown,35.00,9.25,9.25,375,"Bowless Soft Top",17.00
55055233AEK,Crown,64.00,19.00,10.00,375,"Header Panel Kit",27.00
4636258,Crown,9.00,6.00,5.75,50,"Water Pump",2.30
4659238,Crown,3.25,3.25,1.00,31.67,Bearing,0.50
RT31034,Crown,15.00,14.00,6.50,350,"Performance Brake Kit",33.00
J8120143,Crown,14.00,6.50,1.00,10.83,"Accelerator Cable",0.10
SR450MK,Crown,3.25,3.25,1.25,56.67,"Small Parts Master Kit",0.50
4431156,Crown,12.75,12.00,1.75,75,"Clutch Disc",3.40
RT34094,Crown,7.50,4.00,2.50,80,"Door Hinge Set",3.13
6034120,Crown,0.75,0.50,0.50,0.63,Screw,0.02
J3231217,Crown,0.75,0.75,0.25,0.63,Fuse,0.10
68031388AA,Crown,8.80,8.00,3.50,48.33,"Crankshaft Retainer  & Seal Kit",0.75
J8124934,Crown,2.00,2.00,0.13,1.08,"Main Shaft Snap Ring",0.10
6036482AA,Crown,2.88,0.77,0.88,2.17,"Wheel Stud",0.13
J0943140,Crown,2.50,2.50,0.50,2.58,"Drum Brake Adjuster Lever",0.10
RT34089,Crown,7.00,7.00,5.00,25,"Fuel Filler Bezel",0.60
52040123,Crown,32.00,8.00,5.00,53.33,"Power Steering Pressure Hose",1.10
G9436750,Crown,1.38,0.63,0.63,1.3,Bulb,0.02
4726035AE,Crown,41.00,5.50,5.25,158.33,"Axle Shaft Assembly",24.00
H0061285,Crown,13.00,1.50,1.50,8.5,"Radiator Hose",0.40
J0945306,Crown,2.75,0.75,0.75,0.83,"Brake Shoe Return Spring",0.02
J8134017,Crown,1.75,0.25,0.25,6.25,"Thrust Bearing Washer",0.10
J5352163,Crown,31.50,4.00,2.50,100,"Drag Link Assembly",8.60
RT10337T,Crown,36.00,10.00,9.00,430.55,"Replacement Soft Top",21.30
J8127652,Crown,1.25,18.00,12.50,8.33,"Transmission Filter Kit",0.80
A976,Crown,2.75,2.75,0.25,3.33,"Output Shaft Bearing Snap Ring",0.10
J0946968,Crown,1.00,1.50,6.50,16.67,"Steering Bellcrank Shaft",1.10
T150,Crown,1.75,4.00,4.00,48.33,"Small Parts Kit",0.60
J3235712,Crown,4.25,4.25,3.00,11,"Transmission Mount",1.80
4228564,Crown,1.75,1.00,1.00,3.33,"Leaf Spring Bushing",0.10
5137665AB,Crown,3.00,3.00,2.00,31.67,"Brake Caliper Rebuild Kit",0.40
5066050AA,Crown,7.00,5.00,5.00,96.67,"Pinion Flange",4.10
J0989852,Crown,2.00,4.50,4.50,20.83,"Parking Light",0.60
D30EMASKIT,Crown,8.00,4.25,6.00,165,"Differential Overhaul Kit",4.00
J3112780,Crown,4.50,1.00,0.50,0.78,"Brake Shoe Return Spring",0.10
4364781,Crown,3.00,3.00,0.50,7,"Brake Caliper Seal Kit",0.10
CT20235T,Crown,50.00,30.00,9.50,925.7,"Complete Top",74.00
AX55X2,Crown,6.25,6.00,2.50,208,"Fifth Gear Kit",2.80
D44JK456R,Crown,16.50,11.25,7.00,316.67,"Ring & Pinion",16.50
RT28026,Crown,8.00,3.50,2.75,13.33,"Side Marker Light",0.60
CA10337,Crown,15.25,11.50,7.00,218.33,"Cover All Kit",6.60
5012671AC,Crown,42.00,31.00,9.00,183.33,Fender,7.10
5072145AA,Crown,4.00,4.00,1.75,20,"Blower Motor Resistor",0.20
4612367,Crown,9.00,7.00,3.50,63.33,"Engine Mount",3.40
J3150046,Crown,3.25,3.25,1.25,15.83,"Axle Shaft Bearing",0.40
J3242139,Crown,13.50,5.25,4.00,141.67,"Oil Pump Kit",5.00
TK1,Crown,14.00,10.00,5.50,73.33,"Tune Up Kit",4.50
J8126636,Crown,3.50,3.50,1.75,16.5,"Universal Joint",1.10
4388589,Crown,2.25,2.00,0.75,3,"Headlight Bulb Retainer",0.10
4663635,Crown,15.25,5.25,2.25,90,"Timing Chain",4.30
J0124145,Crown,2.75,0.75,0.75,1.07,"Bellcrank Bolt",0.10
A1445,Crown,3.50,4.50,4.00,58.93,Yoke,1.60
J8126813,Crown,3.50,3.50,0.25,3.33,"Main Shaft Bearing Snap Ring",0.10
J3223547,Crown,2.75,2.75,0.50,2.77,"Exhaust Seal",0.30
J3229033,Crown,3.00,0.75,1.00,1,"Brake Caliper Support Clip",0.20
4644364,Crown,35.50,24.00,8.75,233.33,Radiator,12.00
53007563AB,Crown,1.50,1.25,1.25,4.33,"Oil Filter Connector",0.10
56046955AF,Crown,3.25,3.25,1.25,113.33,"Key Fob",0.13
55079378AE,Crown,20.00,15.50,10.00,275,Headlight,6.30
J8124644,Crown,3.25,3.25,2.00,108.33,"Second Gear",1.60
J3250005,Crown,1.00,1.00,0.75,11.33,"Pilot Bearing",0.10
5159661AA,Crown,10.00,5.25,2.00,136.67,"Piston Ring Set",0.80
J5360986,Crown,46.00,4.25,4.25,550,"Drive Shaft",12.00
53031045,Crown,3.75,3.75,1.25,38.33,"Drive Belt Idler Pulley",0.31
53030497,Crown,2.50,2.25,2.00,3.67,"PCV Valve Elbow",0.10
L0003057,Crown,2.00,1.00,1.00,2,Bulb,0.10
J0992289,Crown,3.25,3.25,1.25,41.67,"Main Shaft Bearing",1.00
J0645544,Crown,15.50,1.00,1.00,14.17,"Brake Hose",0.30
BELT3B,Crown,13.50,7.00,5.00,96.67,"Seat Belt",3.00
J8130256,Crown,5.00,4.50,1.50,42.47,"Synchronizer Blocking Ring Set",0.60
BT30015,Crown,12.00,11.00,3.75,52.5,"Beach Topper",3.38
J5350586,Crown,46.00,3.50,10001.00,56.67,"Tie Rod Assembly",5.60
CC10109,Crown,13.00,12.00,9.50,83.99,"Cab Cover",7.69
55294926K,Crown,63.00,18.00,7.50,381.67,"Header Panel Kit",23.40
RT28066,Crown,5.00,3.00,2.25,31.67,"LED Bulb Kit",0.13
TK11,Crown,14.00,10.00,5.50,71.67,"Tune Up Kit",4.00
J8124071,Crown,5.50,5.00,2.50,66.67,"Differential Carrier Bearing Kit",2.00
RT26030,Crown,2.50,16.00,16.00,78.33,"Grille Insert Set",2.00
RT34010,Crown,23.50,3.00,1.00,23.33,"Entry Guard Set",1.20
805654,Crown,3.25,3.25,1.50,25,"Brake Master Cylinder Repair Kit",0.20
36364,Crown,3.25,3.25,0.50,2.83,"Axle Shaft Slinger",0.10
RT24009,Crown,3.00,3.00,2.00,38.33,"Shift Knob",0.31
4687214,Crown,2.50,0.50,0.50,4.58,"Door Jamb Switch",0.10
5KFKFR,Crown,54.00,18.50,13.00,148.33,"Fender Flare Set",12.50
4637155,Crown,10.25,7.00,1.75,21.67,"Ignition Wire Set",0.50
119138,Crown,2.25,0.50,0.50,2.25,"Valve Guide",0.10
5010321AC,Crown,14.00,9.50,4.00,483.33,"Ring & Pinion",20.30
5017183AB,Crown,29.00,5.75,4.75,53.33,"Coolant Air Bleeder Housing",2.20
994262K,Crown,3.00,3.00,1.00,53.33,"Axle Shaft Bearing Kit",0.80
4746835,Crown,4.75,4.75,4.75,48.33,Yoke,2.40
J0946784,Crown,4.00,4.00,1.75,91.67,"Output Shaft Gear",2.10
68002271AB,Crown,70.00,29.00,21.00,116.67,Fascia,11.00
68144224AD,Crown,21.50,4.20,2.00,17.5,"Fascia Bracket",0.20
J8127215,Crown,13.00,10.00,10.00,5.5,"Transmission Gasket Set",0.20
4897451AA,Crown,20.50,10.00,9.50,115,Strut,12.00
4891721AB,Crown,13.00,3.00,1.00,35,"Accessory Drive Belt",0.50
4443971,Crown,6.25,4.75,4.00,86.67,"Ignition Coil",3.10
15044,Crown,0.25,1.00,2.50,1.58,"Shift Fork Insert",0.10
J3236685,Crown,1.50,1.25,0.75,1.47,"PCV Valve Elbow",0.10
G444618,Crown,0.75,0.75,0.75,1,"Water Jacket Plug",0.10
J8060604,Crown,20.00,7.00,5.00,9.7,"Radiator Hose",1.10
J0991043,Crown,8.00,4.00,4.00,183.33,"Cluster Gear",4.50
J0912354,Crown,1.00,0.12,0.12,0.28,"Reverse Idler Bearing",0.10
4792968AD,Crown,9.50,6.00,5.50,58.33,"Water Pump",3.00
56003104,Crown,9.25,7.25,2.00,15.83,"Headlight Bezel",0.20
5016708AD,Crown,10.75,6.00,5.50,98.33,"Multifunction Switch",0.70
4546679,Crown,8.50,8.05,3.50,23.33,"Fuel Filter",0.80
83503424,Crown,8.50,8.25,5.75,483.33,"Ring & Pinion Kit",12.40
J4200414,Crown,0.75,0.75,0.50,4.67,"Steering Wheel Nut",0.10
J5752010,Crown,3.25,4.75,5.25,7.5,"Shift Boot",0.30
4448878,Crown,5.75,5.50,6.00,56.67,"Water Pump",2.20
4668302,Crown,8.50,7.75,3.75,115,"Clutch Master Cylinder",0.70
G0004256,Crown,23.00,1.00,1.00,33.33,"Hood Support",0.60
52059912AC,Crown,4.50,4.50,2.00,14.17,"Coil Spring Isolator",0.60
JY013251,Crown,8.00,8.00,0.50,30,"Accessory Drive Belt",0.10
5KF09RXFAG,Crown,54.00,19.00,13.00,80,"Fender Flare",8.80
56041018AD,Crown,2.50,2.25,2.00,23.33,"Map Sensor",0.10
83507079K4010,Crown,9.25,3.75,1.75,75,"Crankshaft Main Bearing Set",1.30
4728859,Crown,3.00,2.00,1.50,26.67,"Wheel Cylinder",0.80
L000PSX24W,Crown,2.50,2.25,2.00,23.33,"Fog Light Bulb",0.02
4728406,Crown,12.00,11.00,2.75,18.33,"Air Filter",1.20
J5752813,Crown,3.25,3.25,1.25,5,"Dash Light",0.02
55175727,Crown,5.00,14.00,45.00,38.33,"Fender Flare",2.00
BELT1B,Crown,4.00,4.00,4.00,24.17,"Seat Belt",1.20
6505026AA,Crown,0.80,0.40,0.40,2.33,Screw,0.02
52004152,Crown,17.00,1.00,1.00,25,"Brake Hose",0.40
56041345AE,Crown,3.75,3.75,1.75,115,"Oxygen Sensor",0.25
4578600AA,Crown,29.00,5.75,4.75,125,"Axle Shaft Assembly",15.00
5109605AC,Crown,28.00,1.00,1.00,56.67,"Liftgate Support",1.30
4593848AA,Crown,3.25,3.25,1.50,18.33,"Drive Belt Idler Pulley",0.30
68251580AC,Crown,20.25,3.75,3.75,68.33,"Steering Stabilizer",5.00
3861473,Crown,5.00,1.50,1.50,10.83,"Window Handle",0.30
D300MASKIT,Crown,12.75,12.00,1.50,215,"Transfer Case Overhaul Kit",7.40
FC10309,Crown,16.50,12.00,11.00,73.44,"Full Car Cover",9.50
L01295NA,Crown,2.00,1.25,1.25,2.77,Bulb,0.10
5066309TI,Crown,9.00,3.75,3.00,36.67,"Brake Pad Set",2.20
5143208AA,Crown,33.00,25.50,8.50,191.5,"Cooling Fan Module",13.40
D44WKMASKIT,Crown,8.00,6.00,4.50,260,"Differential Overhaul Kit",5.40
J3174215,Crown,3.50,3.25,2.50,10,"Oil Filler Cap",0.30
5137609AB,Crown,3.00,3.00,3.00,25,"Brake Caliper Rebuild Kit",0.60
4612453,Crown,3.50,3.50,1.50,56.67,"Idle Air Control Valve",0.30
4792353,Crown,7.50,7.00,1.50,53.33,"Timing Belt",0.40
RT31002,Crown,11.50,11.50,7.00,180,"Brake Rotor Set",28.00
J3227812,Crown,3.50,2.50,2.50,15,"Starter Solenoid",0.70
3192371,Crown,3.50,3.25,1.75,30,"Main Shaft Bearing",1.30
55366676K4,Crown,13.50,8.00,5.00,233.33,"Body Mount Kit",14.00
5154262AA,Crown,6.00,6.00,6.00,108.33,"Hub Assembly",10.00
J0943466,Crown,4.25,4.00,1.75,208,"Synchronizer Hub",1.30
4797621,Crown,13.00,6.00,5.00,53.33,"Brake Hose",0.80
5103377AA,Crown,3.00,1.50,0.25,8.33,"Fuel Injector O-Ring Kit",0.02
RT34093,Crown,7.75,4.00,2.50,80,"Door Hinge Set",3.63
4766910AH,Crown,28.50,13.50,8.50,70,"Control Arm",14.00
5182026AA,Crown,5.25,5.00,5.00,45,"Fog Light",0.60
4607084,Crown,5.00,4.00,1.50,27.5,Flasher,0.10
4721995AA,Crown,12.00,12.00,1.75,56.67,"Brake Rotor",16.30
J3234427,Crown,12.00,8.00,7.50,80,"Water Pump",10.80
BHK3,Crown,20.75,3.75,3.75,75,"Brake Hose Kit",2.00
4656731AH,Crown,21.50,20.00,3.00,141.67,"Control Arm",9.90
56010125AH,Crown,15.50,6.00,4.50,125,"Multifunction Switch",0.80
J0940522,Crown,3.50,3.50,0.12,1,"Steering Box Gasket",0.02
TC303209,Crown,14.00,8.00,5.00,20.47,"Tire Cover",2.06
4793313,Crown,7.50,4.50,3.00,60,"Wiper Switch",0.30
5191825AA,Crown,8.75,8.00,3.50,83.2,"Brake Caliper",5.80
J5455074,Crown,36.50,8.00,3.75,30,"Fender Flare",1.20
4721677AA,Crown,12.00,12.00,1.50,53.33,"Brake Rotor",12.70
83503575,Crown,41.25,5.50,5.50,316.67,"Drive Shaft",12.50
G0004027,Crown,22.00,1.00,1.00,40,"Decklid Support",0.60
52003769,Crown,21.50,5.00,3.00,41.67,"Power Steering Pressure Hose",0.60
J0052979,Crown,3.25,3.25,1.25,63.33,"Differential Carrier Bearing",0.90
55155122AG,Crown,8.25,6.50,6.00,108.33,"Wiper Motor",2.80
CB20037,Crown,12.00,12.00,8.50,97.5,"Combo Beach Topper",6.90
CT20037T,Crown,40.00,30.00,10.50,920.93,"Complete Top",64.00
T150BSG,Crown,13.00,12.00,2.50,81.67,"Transmission Overhaul Kit",2.90
5KF08RXFAG,Crown,54.00,19.00,13.00,80,"Fender Flare",8.80
J3697757,Crown,1.50,1.50,1.00,8,"License Plate Light",0.10
4720653010,Crown,9.25,4.25,1.25,44,"Piston Ring Set",0.80
