REPLACES_PART,QUANTITY
JA000181,4400
JA000473,14502
JA000490,703
JA000544,557
JA000557,926
JA000779,1174
JA000795,5158
JA000797,8507
JA000798,-2
JA000857,897
JA000858,1016
JA000865,4232
JA000867,4406
JA000868,55
JA000954,3006
JA000957,1310
JA000970,2057
JA000972,3908
JA000974,5228
JA000987,2669
JA000991,710
JA001001,-1
JA001007,559
JA001116,499
JA001126,131
JA001134,3083
JA001395,844
JA001488,597
JA001509,1150
JA001658,100
JA006753,1465
JA006882,954
JA007233,1
JA007361,973
JA007835,48
JA008445,
JA009307,1903
JA014709,393
JK060760,24
JK060882,
JK060915,148
JK061040,44
JY013251,429
JY013271,5
JY013291,4
JY013361,50
JY013411,40
JY013421,14
JY013461,
JY013475,371
JY013506,11
JY013541,4
JY015332,7
JY017325,5
JY017380,307
JY017561,38
JY017570,13
J0051575,11
J0051577,29
J0052799,105
J0052800,173
J0052877,51
J0052878,52
J0052879,15
J0052940,73
J0052941,66
J0052942,53
J0052943,52
J0052979,10
J0052980,101
J0054153,21
J0054154,30
J0114627,
J0115962,200
J0118343,65
J0120125,24
J0120206,232
J0120239,298
J0120751,221
J0124145,1723
J0131016,5231
J0131018,11
J0169162,1735
J0273573,8578
J0339372,1827
J0349368,25050
J0359039,1924
J0375994,449
J0384228,-28
J0445446,1044
J0630068,2295
J0630112,1361
J0630117,4265
J0630305,19
J0630365,160
J0632177,1731
J0634811,537
J0634814,1180
J0635394,79
J0635516,8596
J0636035,6795
J0636344,432
J0636360,481
J0636565,1347
J0636566,9072
J0637183,112
J0637427,4348
J0637432,758
J0637790,9741
J0637831,165
J0637832,22866
J0637905,7656
J0637936,3016
J0638459,7
J0638540,8
J0638629,-51
J0638636,8452
J0639090,3508
J0639091,3805
J0639104,4307
J0639422,5848
J0639441,3290
J0639578,742
J0639651,451
J0639734,3028
J0639957,659
J0639980,1004
J0640178,261
J0640353,314
J0640374,158
J0640390,29
J0640391,28
J0640395,2996
J0640397,265
J0640409,1294
J0640411,7154
J0640412,524
J0640426,588
J0640428,212
J0640694,108
J0640781,15
J0640786,7896
J0640893,417
J0640945,58
J0640959,581
J0640965,394
J0640968,
J0640969,
J0641282,7
J0641723,2806
J0641727,1097
J0641768,18784
J0641769,186
J0641774,23
J0641775,3
J0641856,605
J0641872,225
J0641997,5333
J0642056,44
J0642058,102
J0642059,163
J0642188,798
J0642189,28
J0642190,841
J0642191,1646
J0642757,41790
J0642767,307
J0642770,375
J0642967,8
J0643055,240
J0643754,3786
J0643841,170
J0644340,-5
J0644366,943
J0644418,950
J0644419,312
J0645134,6958
J0645218,1175
J0645544,56
J0645595,8
J0645623,-2
J0645662,2526
J0645663,1686
J0645789,3724
J0645964,1254
J0645966,-8
J0645980,600
J0646084,104
J0646142,149
J0646619,150
J0646698,502
J0646729,-6
J0647246,119
J0647584,38
J0647585,345
J0647745,239
J0647801,32
J0648061,1237
J0648348,
J0648360,25
J0648594,17184
J0648798,519
J0648852,364
J0649228,670
J0649240,2427
J0649454,8102
J0649518,408
J0649712,6
J0649778,10188
J0649783,367
J0649784,1296
J0649948,113
J0654758,2355
J0663502,1430
J0671045,54
J0688933,241
J0688934,226
J0700003,-4
J0733395,
J0733955,290
J0734610,
J0735994,4
J0745608,2014
J0758977,5849
J0758977K,287
J0800093,1767
J0800293,291
J0800417,2
J0800823,694
J0800896,320
J0800953,422
J0800986,2063
J0801042,1278
J0801058,771
J0801332,1478
J0801345,238
J0801367,6027
J0801422,1187
J0801538,8
J0801539,4
J0801816,4531
J0802030,151
J0802040,943
J0802061,433
J0802062,375
J0802414,3549
J0802561,678
J0802925,197
J0802951,261
J0803358,4051
J0803639,356
J0803640,301
J0803641,16
J0804484,-1
J0804533,436
J0804622,109
J0804746,655
J0805123,305
J0805150,367
J0805311,
J0805328,14
J0805329,
J0805376,2685
J0805524,979
J0805592,2933
J0805635,73
J0805693,41
J0805730,556
J0805783,
J0805784,7
J0806483,801
J0807036,265
J0807266,57
J0807376,228
J0807476,254
J0807693,2
J0807767,11
J0807885,57
J0808591,382
J0808770,253
J0808988,594
J0809189,645
J0809190,2215
J0809291,23
J0809293,-1
J0809294,60407
J0809295,2930
J0809297,23
J0810584,529
J0811351,148
J0811681,177
J0812050,51
J0906197,88
J0906199,120
J0906200,349
J0906203,-1
J0906750,829
J0906779,4
J0907107,192
J0908005,752
J0908006,9220
J0908226,456
J0908331,28
J0908333,36
J0908593,2286
J0909222,195
J0909405,241
J0909460,1
J0909548,
J0909889,5414
J0910290,301
J0910901,
J0911467,460
J0911693,10
J0911814,2557
J0912008,-25
J0912017,532
J0912340,76
J0912345,3514
J0912354,7474
J0912625,110
J0912626,35
J0912647,353
J0912703,1881
J0914223,464
J0914802,2167
J0914850,192
J0914946,1961
J0915664,251
J0915762,
J0916047,57
J0916319,681
J0916361,13
J0916646,-6
J0917068,8
J0919294,10
J0919317,64
J0920536,205
J0920556,192
J0921055,4077
J0922607,276
J0923130,98
J0923131,174
J0923146,777
J0923300,274
J0923301,889
J0923302,106
J0923392,241
J0923418,283
J0923806,88
J0923808,-10
J0923896,4716
J0924057,5246
J0924160,67
J0924918,-7
J0925339,7
J0925447,913
J0926544,447
J0926671,471
J0926945,184
J0927645,1653
J0928099,2670
J0928342,75
J0928477,17
J0928763,393
J0929393,2670
J0929408,586
J0929409,7597
J0929669,1726
J0929838,319
J0930456,147
J0930522,31
J0930525,
J0930640,28
J0930731,377
J0931216,38
J0931263,102
J0931356,1189
J0931634,1014
J0931674,5
J0932107,4252
J0932191,52
J0932192,1449
J0932295,2699
J0932833,5
J0933119,493
J0933737,127
J0933743,1567
J0933747,143
J0934197,8
J0934281,2447
J0934497,365
J0934937,50
J0935650,3
J0935685,177
J0935758,209
J0936612,1555
J0936615,1089
J0936979,
J0937325,2762
J0937347,136
J0937458,3383
J0937854,19421
J0937884,350
J0937953,512
J0937959,108
J0937960,96
J0937974,2360
J0938092,3
J0938109,241
J0938110,895
J0938111,7496
J0938115,53
J0938151,-59
J0938918,19
J0939293,488
J0939335,1871
J0939734,1032
J0939993,701
J0939995,-8
J0940063,60
J0940521,175
J0940522,2744
J0940538,13
J0940555,475
J0940896,736
J0941061,6435
J0941400,837
J0941521,2132
J0941655,222
J0941656,17
J0941662,277
J0941667,44
J0941877,287
J0941885,16
J0941886,
J0942113,18
J0942114,1772
J0942115,761
J0942368,9
J0942597,310
J0942612,421
J0942622,977
J0942901,296
J0942903,3308
J0942945,460
J0943136,1509
J0943138,190
J0943140,6582
J0943141,25
J0943147,1036
J0943149,36
J0943150,58
J0943188,5
J0943466,1
J0944333,6179
J0944334,122
J0944666,769
J0944748,1111
J0944817,7
J0944870,236
J0944871,107
J0945142,9
J0945255,113
J0945266,2821
J0945270,385
J0945306,4306
J0945345,
J0945347,
J0945519,71
J0945556,-15
J0945577,1110
J0946550,6
J0946613,13
J0946707,140
J0946784,373
J0946785,144
J0946786,17
J0946965,6
J0946968,1
J0946969,10
J0947055,1
J0947057,2
J0947339,236
J0947382,16
J0947399,132
J0947778,242
J0948137,1
J0948185,415
J0948416,245
J0948692,10
J0948726,-2
J0948990,538
J0948991,
J0948992,154
J0949169,35
J0953453,1942
J0957868,19318
J0958731,100
J0965888,2467
J0971669,729
J0971672,1957
J0973819,1025
J0974016,355
J0978529,55
J0978986,398
J0978995,305
J0980363,1898
J0981809,247
J0987911,1275
J0987996,80
J0989844,141
J0989852,-113
J0989940,409
J0990192,654
J0991012,596
J0991013,71
J0991014,140
J0991017,10913
J0991020,-17
J0991021,177
J0991022,19
J0991023,3304
J0991043,
J0991044,
J0991059,-2
J0991062,631
J0991066,1849
J0991070,3571
J0991076,12
J0991077,5021
J0991079,276
J0991080,460
J0991089,357
J0991143,
J0991186,6
J0991198,93
J0991199,94
J0991200,337
J0991360,181
J0991381,161
J0991402,417
J0991526,36
J0991720,370
J0991744,15
J0992289,1655
J0992533,49
J0992825,
J0992965,499
J0994020,1103
J0994021,2960
J0994260,1835
J0994277,-8
J0994306,51
J0994313,8121
J0994345,172
J0994509,31
J0994759,470
J0994904,4825
J0994911,1
J0994913,59
J0994914,1975
J0994946,73
J0998092,2085
J0998350,76
J0998354,126
J0998445,171
J0998504,43
J0998666,6733
J0998710,422
J0999200,302
J0999396,137
J0999415,883
J0999529,32
J0999545,993
J0999546,-17
J0999728,40
J0999893,432
J0999895,41
J0999898,31
J0999923,16
J0999978,366
J0999979,455
J0999980,-26
J1194143,-4
J1369788,242
J1370910,334
J1371313,242
J1378486,219
J3105346,13
J3105394,259
J3107002,1793
J3107234,1746
J3108202,1716
J3112780,23
J3112993,3984
J3113840,3865
J3124570,154
J3141319,1958
J3141320,1046
J3142826,75
J3143612,35
J3144492,47
J3144641,151
J3149556,2274
J3150046,501
J3155675,3439
J3156052,6
J3156062,540
J3156063,9
J3156065,148
J3156066,36
J3156157,30
J3157273,3
J3161258,383
J3162323,42
J3163094,274
J3166547,63
J3167049,68
J3167067,1695
J3169769,13299
J3170699,385
J3170700,1331
J3170937,79
J3170947,33
J3171166,380
J3171493,
J3172122,19
J3172134,172
J3172135,102
J3172305,719
J3172313,199
J3172319,605
J3172330,8063
J3172332,140
J3172419,3
J3172563,52
J3172564,133
J3172565,172
J3172566,110
J3173076,4149
J3173204,467
J3173474,159
J3173532,1837
J3173646,3846
J3173681,209
J3174215,7
J3174685,1112
J3174730,205
J3176846,51
J3176909,2818
J3177594,1943
J3178449,369
J3179741,783
J3180216,1464
J3180370,1721
J3180414,874
J3180416,47
J3180458,3313
J3181291,165
J3181340,-1
J3181471,4
J3181643,1773
J3181899,687
J3182095,43
J3182494,1592
J3182585,
J3182601,529
J3184013,2192
J3184277,110
J3184573,3525
J3184867,6
J3184908,21
J3185971,1299
J3186107,-8
J3186262,647
J3186263,4111
J3187543,2299
J3189874,3648
J3190386,515
J3190517,21
J3190565,1614
J3192351,5270
J3192365,48
J3192369,333
J3192372,5593
J3192382,
J3192383,
J3192407,3640
J3192412,2183
J3192427,2056
J3192428,142694
J3192429,453
J3192431,835
J3192435,983
J3193236,9785
J3193369,3683
J3193613,835
J3193968,406
J3197003,47
J3197138,11
J3197636,-10
J3199503,2025
J3200192,337
J3200197,5
J3200491,13
J3200492,57
J3200496,-18
J3200671,1210
J3201027,255
J3201927,679
J3201928,51
J3201937,1564
J3201947,832
J3201957,90
J3201958,471
J3201961,151
J3202618,497
J3203076,208
J3203077,201
J3204202,55
J3204585,155
J3204833,211
J3204875,2166
J3204878,1953
J3205532,34
J3205596,157
J3205711,57
J3205979,1647
J3206690,1700
J3206691,2367
J3206693,9
J3206696,102
J3208066,
J3208067,31
J3208152,33910
J3208474,593
J3208615,308
J3208985,2
J3209294,3340
J3209543,106
J3209544,385
J3209971,215
J3209972,47
J3210177,1288
J3210203,122
J3210891,113
J3210994,368
J3211053,92
J3211322,118
J3211424,
J3211538,84
J3212004,225
J3212192,-6
J3213609,7
J3213743,1361
J3213751,48
J3213846,12
J3214013,82
J3214014,-34
J3215938,16
J3216049,19
J3216159,3
J3216638,11547
J3217479,59202
J3217480,708
J3218731,28
J3218732,30
J3218976,4851
J3218977,3058
J3219632,2335
J3220248,
J3220250,18015
J3221283,1176
J3222276,-35
J3222290,23
J3222706,31
J3222723,2176
J3222799,6947
J3222999,85
J3223199,28
J3223202,-8
J3223344,
J3223345,10
J3223346,16
J3223363,1750
J3223546,324
J3223547,3636
J3223888,1354
J3224192,546
J3224216,8
J3224231,83
J3224597,55
J3224598,983
J3224690,
J3224704,-86
J3224964,137
J3225187,401
J3225201,85
J3225283,6
J3225627,9421
J3225703,120
J3225787,14
J3225981,4400
J3225997,19
J3226241,16
J3226242,238
J3227329,131
J3227352,10
J3227691,
J3227812,76
J3227823,1867
J3227849,123
J3228191,134
J3228192,4551
J3228195,2
J3228426,1314
J3229031,64
J3229032,70
J3229033,70
J3229063,9
J3229443,699
J3229607,10
J3229657,2
J3229982,2
J3230351,207
J3230376,-9
J3230408,-1
J3230413,7451
J3230457,79
J3230757,73
J3230765,51
J3230821,3764
J3231211,1301
J3231213,212
J3231214,533
J3231215,609
J3231216,181
J3231217,587
J3231218,537
J3231219,4
J3231347,161
J3231413,3011
J3231636,1
J3231980,-10
J3232138,9
J3232139,79
J3233831,3877
J3233903,457
J3233904,334
J3234216,34
J3234234,25
J3234235,18
J3234427,31
J3234433,26
J3234451,1246
J3234705,1
J3234707,2099
J3235090,797
J3235405,5577
J3235712,652
J3235806,60
J3235807,205
J3235808,39
J3235898,157
J3235929,25
J3235938,
J3236322,75
J3236434,4312
J3236513,787
J3236680,104
J3236685,4280
J3236695,261
J3236726,368
J3237270,71
J3237427,66
J3237457,1116
J3237756,42
J3237812,265
J3237837,3724
J3237851,167
J3237886,1
J3238136,11
J3238137,284
J3238138,71
J3238141,36
J3238509,402
J3238526,102
J3238753,4
J3238998,161
J3239375,13
J3239703,8
J3239821,159
J3239865,354
J3239867,4397
J3239949,162
J3240094,108
J3240164,30
J3240166,35
J3240167,155
J3240172,2
J3240359,60
J3240502,43
J3240515,4
J3240553,12557
J3240767,3019
J3240768,40
J3241062,1177
J3241067,812
J3241073,991
J3241239,1088
J3241263,-5
J3241399,86
J3241430,-12
J3241481,1224
J3241602,32
J3241629,20
J3241709,118
J3241718,18
J3241731,335
J3241856,13
J3241858,26
J3241867,165
J3242138,5
J3242139,-3
J3242141,15
J3242203,348
J3242280,70
J3242283,1
J3242300,5
J3242321,436
J3242393,40
J3242395,344
J3242397,164
J3242520,7
J3242659,5
J3242664,733
J3242711,215
J3242842,287
J3242854,550
J3242855,461
J3242886,84
J3243102,6
J3243136,121
J3243152,-2
J3250005,4016
J3250141,
J3250575,169
J3250733,1500
J3251156,162
J3251236,328
J3609194,800
J3631896,14
J3657374,199
J3670544,70
J3671981,118
J3678907,587
J3697757,140
J3698103,20612
J3726992,1077
J3728196,
J3732585,199
J3752487,95
J4000056,1181
J4000141,608
J4000334,1913
J4001916,418
J4002337,26291
J4003794,1451
J4003794B,5728
J4004109,116
J4004110,689
J4004455,1242
J4004751,1620
J4004815,27282
J4004816,6678
J4004836,607
J4004837,80
J4004868,38008
J4004913,2100
J4004919,1548
J4004968,3845
J4005672,1894
J4005694,12996
J4005701,111
J4006047,2965
J4006080,1142
J4006204,149
J4006495,1564
J4006547,5022
J4006698,47308
J4006714,1162
J4006897,18644
J4006928,18789
J4006948,161
J4006956,1468
J4007109,8101
J4007177,366
J4007199,12866
J4007541,-26
J4200095,2605
J4200097,3344
J4200323,12814
J4200408,2790
J4200414,395
J4485673,9337
J4485691,1051
J4485692,139
J4485780,2
J4486135,517
J4486140,3563
J4486141,4284
J4486286,5
J4486626,6871
J4486635,42
J4486713,18745
J4486825,
J4487154,56
J4487455,8268
J4487564,3
J4487696,1224
J4487739,337
J4487743,5436
J4488087,5
J4488091,7
J4488141,
J4488760,26
J5350061,24
J5350284,269
J5350541,280
J5350586,105
J5350589,-2
J5350644,2617
J5350663,68
J5350750,134
J5350828,1396
J5351118,2114
J5351209,989
J5351211,1402
J5351252,2876
J5351274,
J5351275,1858
J5351302,1297
J5351388,-2
J5351419,492
J5351420,445
J5351672,192
J5351775,-3
J5351776,-2
J5351777,70
J5351778,37
J5351821,14
J5352079,504
J5352088,493
J5352163,3
J5352169,57
J5352171,534
J5352186,10
J5352249,117
J5352250,4870
J5352268,28
J5352278,155
J5352476,148
J5352620,130
J5352637,33
J5352650,35
J5352659,9414
J5352665,-2
J5352688,-4
J5352689,6
J5352701,159
J5352765,461
J5352786,990
J5352787,59
J5352824,84
J5352825,16
J5353025,7556
J5353073,2161
J5353092,419
J5353135,17
J5353238,-7
J5353263,406
J5353347,17612
J5353851,429
J5354027,833
J5354060,
J5354506,262
J5354528,676
J5354689,28
J5354722,148
J5354760,211
J5354892,46
J5354934,344
J5355060,126
J5355062,20
J5355063,412
J5355076,188
J5355281,560
J5355286,664
J5355287,108
J5355314,1
J5355315,1031
J5355324,-2
J5355325,48
J5355330,17
J5355333,10
J5355339,1696
J5355342,38
J5355369,446
J5355446,295
J5355457,2
J5355483,1178
J5355594,-6
J5355689,85
J5355714,6
J5355719,19513
J5355721,90
J5355722,25
J5355841,2704
J5355891,347
J5355962,-12
J5355966,134
J5355987,24
J5356054,228
J5356104,368
J5356105,35
J5356106,30
J5356183,48
J5356187,8
J5356189,65
J5356423,49
J5356483,82
J5356484,8
J5356500,2
J5356569,517
J5356598,382
J5356651,2181
J5356661,-4
J5356918,2
J5357023,-19
J5357065,14
J5357190,39
J5357191,35
J5357196,13929
J5357373,347
J5357394,8
J5357436,10
J5357497,2086
J5357499,517
J5357620,475
J5357677,46
J5357703,409
J5357889,-17
J5357931,377
J5357953,25
J5357970,171
J5357971,341
J5358568,37
J5358641,
J5358677,104
J5358840,667
J5358879,1906
J5358980,273
J5359011,-17
J5359012,129
J5359022,263
J5359029,9
J5359037,455
J5359272,216
J5359275,26
J5359281,11
J5359322,145
J5359323,227
J5359384,
J5359385,-20
J5359411,1061
J5359457,328
J5359570,50
J5359703,4274
J5359735,3906
J5359822,123
J5359835,179
J5359903,1423
J5359943,2956
J5360058,1681
J5360112,1491
J5360135,27088
J5360950,20
J5360951,
J5360955,537
J5360982,
J5360983,
J5360986,
J5360995,22
J5360997,17
J5361007,2
J5361011,
J5361015,
J5361026,454
J5361029,1556
J5361183,-3
J5361184,126
J5361279,146
J5361280,
J5361389,960
J5361468,95
J5361574,10
J5361614,40
J5361620,616
J5361674,1743
J5361829,249
J5362001,1127
J5362090,393
J5362131,8
J5362132,29
J5362158,964
J5362159,887
J5362162,192
J5362170,
J5362173,1762
J5362180,13
J5362278,
J5362283,1950
J5362492,-1
J5362698,6
J5362722,-2
J5362725,15
J5362800,44
J5362801,262
J5362842,178
J5362871,3
J5362920,1000
J5362950,25
J5362956,84
J5363229,1
J5363231,194
J5363331,23
J5363421,
J5363439,-23
J5363440,-2
J5363490,23
J5363508,362
J5363661,196
J5363662,163
J5363756,287
J5363908,112
J5363917,6
J5364121,-17
J5364122,205
J5364620,904
J5364621,1365
J5364659,19
J5364660,2
J5364684,451
J5364760,1350
J5365082,612
J5370014,1
J5370016,14
J5370018,7
J5370019,193
J5450558,66
J5452266,273
J5453949,242
J5453950,808
J5453956,-7
J5453957,1417
J5453958,19
J5453960,494
J5454025,73
J5454184,-1
J5454951,-2
J5455071,363
J5455072,241
J5455073,167
J5455074,219
J5455290,215
J5455301,91
J5455302,104
J5455398,304
J5455853,2667
J5455997,1607
J5457112,-4
J5457117,386
J5457197,179
J5457198,177
J5457882,923
J5458874,283
J5458875,342
J5459081,204
J5459189,214
J5459418,633
J5459515,2390
J5459552,4044
J5460087,-17
J5460089,604
J5460106,541
J5460107,493
J5460640,-1
J5460643,27
J5461361,469
J5461816,20
J5462328,-121
J5462447,176
J5462736,151
J5463655,877
J5463656,900
J5463657,445
J5465070,-3
J5465084,264
J5465790,336
J5465791,273
J5469605,1562
J5469877,10
J5750279,-5
J5751098,34
J5751194,175
J5751195,
J5751207,656
J5751929,162
J5751959,802
J5752009,653
J5752010,-11
J5752125,1
J5752279,421
J5752281,18
J5752282,219
J5752285,101
J5752395,323
J5752396,-1
J5752617,225
J5752656,20
J5752771,475
J5752791,8
J5752810,896
J5752813,2230
J5752814,2059
J5752815,3587
J5752816,437
J5752817,2451
J5752818,3137
J5752943,
J5758005,809
J5758172,432
J5758173,220
J5758254,117
J5758255,118
J5758467,151
J5758618,69
J5758687,179
J5758695,13
J5758904,940
J5758964,73
J5758971,672
J5761110,-1
J5761180,19
J5761330,-7
J5761372,9544
J5762337,511
J5762384,500
J5762385,465
J5763696,76
J5764204,134
J5764220,305
J5764221,127
J5764646,743
J5764647,612
J5764665,915
J5965338,55
J6416783,3
J8050461,11
J8053050,619
J8060602,24
J8060604,28
J8120028,24
J8120030,21
J8120097,-5
J8120143,517
J8120193,21
J8120221,371
J8120280,36
J8120325,302
J8120326,100
J8120358,756
J8120360,222
J8120393,21
J8120512,842
J8120831,41
J8120832,60
J8120984,138
J8120997,3
J8121156,19
J8121274,131
J8121299,335
J8121364,407
J8121365,410
J8121391,422
J8121399,1999
J8121402,2132
J8121403,-1
J8121654,1
J8121658,1
J8121683,5
J8121683020,1
J8121684,5
J8121685,8
J8121781,3335
J8121789,192
J8122225,387
J8122343,9
J8122350,29
J8122379,
J8122389,297
J8122390,14
J8122392,142
J8122404,1966
J8122406,1148
J8122409,1129
J8122442,10
J8122473,949
J8122495,10
J8122496,409
J8122690,17
J8122710,2557
J8122971,260
J8123023,1042
J8123024,984
J8123042,442
J8123077,2443
J8123141,77
J8123287,1830
J8123301,-1
J8123315,267
J8123320,609
J8124026,5
J8124027,7
J8124051,24
J8124052,28
J8124071,20
J8124287,9
J8124362,655
J8124378,-2
J8124379,-2
J8124386,2
J8124460,6
J8124513,30
J8124514,32
J8124517,11
J8124518,58
J8124524,11
J8124525,5
J8124527,
J8124566,10
J8124571,13
J8124572,31
J8124573,20
J8124580,62
J8124644,89
J8124670,1300
J8124691,16
J8124695,2
J8124777,
J8124779,65
J8124791,38
J8124799,15
J8124803,4734
J8124804,3955
J8124816,24
J8124817,-1
J8124818,814
J8124832,1760
J8124847,7360
J8124853,375
J8124880,77
J8124883,4272
J8124895,5397
J8124896,3154
J8124898,156
J8124899,12
J8124900,
J8124902,123
J8124904,46517
J8124905,4725
J8124907,80
J8124912,-1
J8124913,245
J8124915,3916
J8124930,9929
J8124932,1059
J8124934,1151
J8124935,887
J8124936,2607
J8124939,33
J8124957,9
J8124999,46
J8125028,18
J8125030,39
J8125037,-1
J8125038,-3
J8125039,3
J8125123,7
J8125176,3
J8125448,5
J8125534,247
J8125556,101
J8125722,88
J8125723,73
J8125727,97
J8125847,24
J8125869,60
J8125880,50
J8126106,139
J8126232,4564
J8126234,68
J8126312,934
J8126314,13
J8126321,140
J8126400,457
J8126494,2
J8126496,24
J8126497,-1
J8126499,65
J8126500,154
J8126502,68
J8126503,28
J8126506,609
J8126509,192
J8126510,79
J8126513,
J8126515,
J8126518,1
J8126587,523
J8126601,28733
J8126610,11
J8126614,266
J8126636,72
J8126638,950
J8126659,14
J8126663,96
J8126668,394
J8126682,3
J8126691,
J8126692,29
J8126711,6
J8126712,10
J8126713,8
J8126737,13
J8126739,-2
J8126741,109
J8126743,190
J8126744,360
J8126747,
J8126751,5
J8126753,7
J8126755,15
J8126756,11
J8126762,483
J8126766,166
J8126774,71
J8126775,8
J8126777,1785
J8126796,2
J8126797,143
J8126798,7
J8126799,29
J8126804,143
J8126806,1758
J8126811,712
J8126812,
J8126813,9479
J8126814,1093
J8126825,3985
J8126826,1244
J8126927,-3
J8126928,507
J8126929,1612
J8126946,
J8127021,
J8127059,3192
J8127070,158
J81270701,5
J8127071,126
J81270711,6
J8127072,1
J8127079,8
J8127081,79
J8127092,103
J8127215,58
J8127350,1958
J8127356,147
J8127385,188
J8127392,144
J8127397,6172
J8127401,7
J8127402,326
J8127403,80
J8127415,80
J8127418,40
J8127419,55
J8127420,3411
J8127421,264
J8127422,135
J8127424,716
J8127425,166
J8127427,4912
J8127429,3497
J8127432,498
J8127434,7966
J8127449,1420
J8127471,2292
J8127473,145
J8127477,14
J8127481,291
J8127483,262
J8127490,25918
J8127536,138
J8127582,20
J8127583,3105
J8127598,-2
J8127599,9
J8127630,499
J8127645,15
J8127652,407
J8127654,2
J8127698,3
J8127711,37
J8127712,524
J8127756,11
J8127772,3
J8127782,1
J8127783,4
J8127784,9
J8127785,101
J8127792,1
J8127821,
J8128103,11
J8128147,271
J8128163,1919
J8128190,21
J8128192,38
J8128433,103
J8128434,57
J8128438,17
J8128445,324
J8128461,384
J8128462,4508
J8128482,49
J8128488,-16
J8128585,-15
J8128749,-33
J8128767,
J8128784,
J8128841,22
J8128880,
J8128889,89
J8128900,56
J8128931,404
J8129097,695
J8129098,88
J8129201,29
J8129217,2
J8129221,24
J8129222,42
J8129223,
J8129224,
J8129225,
J8129228,29
J8129235,1
J8129240,
J8129241,123
J8129242,2
J8129245,
J8129363,65
J8129373,881
J8129383,101
J8129434,4
J8129459,11
J8129473,291
J8129642,757
J8129722,53
J8129723,18
J8129724,18
J8129725,119
J8129735,63
J8130017,
J8130067,117
J8130142,136
J8130152,1
J8130157,327
J8130256,351
J8130273,24
J8130274,16
J8130296,84
J8130510,71
J8130747,21
J8130750,28
J8130815,3498
J8130819,32
J8130829,21
J8130836,28
J8130846,29
J8130859,36618
J8130868,748
J8130869,57
J8130870,49
J8130875,
J8130878,10
J8130879,2
J8130938,36
J8130972,39
J8130974,549
J8130982,794
J8130995,383
J8131648,163
J8131649,186
J8131656,35
J8131660,31
J8131668,899
J8131669,1603
J8131670,7578
J8131672,-2
J8131680,359
J8131682,122
J8131684,559
J8131685,98
J8131785,50
J8132227,
J8132229,8
J8132233,22811
J8132249,14
J8132303,7
J8132309,80
J8132312,112
J8132313,32
J8132364,7
J8132372,3
