Number,Width,Length,Height,Price,Description,Weight
5016709AD,6.00,11.00,5.75,98.33,"Multifunction Switch",1.20
J8133255,4.00,4.00,1.75,10,"Crankshaft Thrust Bearing Set",0.50
JA001126,1.00,1.50,0.50,5.25,Draincock,0.10
J5352421,4.00,33.00,3.00,81.67,"Drag Link Assembly",9.20
RT26070,3.75,7.25,2.00,38.33,"Hood Lock",1.00
J0923896,2.50,2.50,0.50,3.33,"Output Seal",0.10
J0131018,1.75,1.75,0.25,0.33,Washer,0.10
J4004913,1.50,1.50,0.25,1.25,Washer,0.06
JA000867,2.50,2.50,0.25,1.67,"Lock Washer",0.10
JA000865,2.25,2.25,0.25,1.67,"Lock Washer",0.10
119597,2.25,7.00,2.00,63.33,"Starter Drive",1.70
J8134293,6.00,46.00,4.00,225,"Axle Shaft Assembly",16.90
T150GS,9.00,12.00,0.50,8.33,"Transmission Gasket & Seal Kit",0.40
8997109CJ8,26.00,46.50,5.00,125,"Fender Flare Kit",9.00
56028996AA,3.25,3.25,1.50,43.33,"Oxygen Sensor",0.20
4746936,3.50,3.50,1.25,40.83,"Universal Joint",1.40
4762495,4.75,5.00,4.50,38.33,"CV Joint Boot Kit",0.80
55111017AB,2.25,2.25,2.25,19.17,Thermostat,0.10
4782518AG,20.00,26.00,5.00,53.33,"Power Steering Pressure Hose",1.80
55366676AC,4.00,4.00,4.00,21.67,"Body Mount",1.30
J0941061,2.00,2.00,0.50,5.83,"Cluster Gear Thrust Washer",0.10
55037969AB,28.25,29.25,9.00,266.67,"Cooling Fan Module",13.00
6505832AA,0.75,1.50,0.75,1.75,Bolt,0.10
SB30036,12.00,12.50,5.00,58.75,"Soft Top Storage Sleeve",3.30
J8136618,6.00,3.00,3.25,53.33,"Brake Master Cylinder",4.10
5354689MK,13.75,14.00,3.25,261.67,"Clutch Kit",23.00
4677695AA,19.00,37.00,6.25,200,"Cooling Fan Module",15.10
4779438AB,14.00,14.00,3.00,80,"Brake Rotor",24.00
J0944817,9.50,11.00,0.50,6,"Transmission Gasket & Seal Kit",0.10
J8134471,6.00,7.00,2.25,136.67,"Transfer Case Chain",4.80
HC4,3.00,5.00,1.50,9.5,"Hood Catch Kit",0.40
68029887AA,4.00,9.50,3.25,48.33,"Brake Pad Set",3.10
5080047AB,0.50,5.25,0.50,28.33,"Glow Plug",0.06
RT28057,8.00,9.00,2.00,225,"LED Headlight Bulb Kit",1.38
J4486286,2.75,5.25,2.50,75,"Camshaft Bearing Set",0.50
BT30037,11.00,12.00,3.50,48.45,"Beach Topper",3.44
J8122495,2.50,2.50,4.00,20,"Ball Joint",1.40
56028995AA,3.25,3.25,1.50,46.67,"Oxygen Sensor",0.30
4806271AA,0.50,1.00,0.50,2.67,"Retainer Grommet",0.06
J8120325,5.00,5.50,2.25,75,"Differential Clutch Kit",1.50
RT31024,15.50,16.00,10.50,475,"HD Brake Booster Kit",20.00
83505426,2.00,24.00,1.00,5,"Wiper Blade",0.20
4659237,3.25,3.25,1.00,9,"Differential Carrier Bearing Cup",0.30
RT10535T,10.00,32.00,10.00,606.98,"Replacement Soft Top",16.00
3723148,3.75,3.75,1.00,23.33,"Differential Carrier Bearing Cup",0.40
RT26038,8.00,8.75,3.50,108.33,"Fuel Door",1.10
J0639104,0.50,0.50,0.50,0.4,"Shift Ball",0.02
5352476K,16.00,16.00,10.75,225,"Drum Service Kit",49.00
CC10509,9.25,12.75,7.50,48.45,"Cab Cover",3.88
J0642757,0.75,0.75,0.50,0.58,"Shift Rail Cap",0.02
D20MASKIT,12.00,13.00,1.50,216.67,"Transfer Case Overhaul Kit",6.00
D3044YOKEUBK,4.25,4.25,4.25,68.33,"Yoke Kit",2.60
5012438AA,5.00,5.25,5.00,103.33,"Axle Shaft",2.50
RT26018,4.00,7.00,3.00,22.5,"Tailgate Tire Stop",0.80
J0640945,2.00,2.00,0.12,0.75,"Axle Shaft Washer",0.10
52089018AE,5.00,5.00,5.00,250,"Power Steering Pump",3.40
4728546,1.25,2.50,0.12,4.83,"Drum Brake Adjuster Lever",0.10
CT20135,30.00,50.00,9.50,925.7,"Complete Top",74.00
TK15,10.00,14.00,5.50,65,"Tune Up Kit",3.00
J8126753,5.00,5.50,2.00,5.83,"Wheel Cylinder Rebuild Kit",0.10
J3204875,0.75,0.75,0.50,4.17,"Steering Shaft Coupling Bearing",0.10
J0052879,3.25,3.25,1.25,16.5,"Pinion Bearing Cup",0.40
5013984AA,8.00,8.00,1.00,28.33,"Hard Top Wiring Connector Kit",0.40
RT31037,13.25,18.00,8.00,475,"HD Brake Booster Kit",17.40
5066549AB,11.00,16.00,3.50,233.33,"Evaporator Core",4.90
68397156AA,6.00,29.50,5.75,450,"Axle Shaft Assembly",17.20
JA000795,2.50,2.50,0.12,1.08,"Differential Side Gear Thrust Washer",0.10
RT28047,4.50,4.50,2.50,40,"LED Fog Lamp Bulb Kit",0.31
JA001395,3.25,3.25,1.25,2,"Generator Support Bushing Set",0.10
J0636565,3.00,3.00,0.12,1.58,"Pinion Gasket",0.02
J8124051,3.25,3.25,1.25,73.33,"Pinion Bearing Set",1.50
J3210203,0.50,9.50,0.50,1.65,"Push Rod",0.10
4746979,3.50,3.25,1.50,40,"Pinion Bearing Kit",1.40
4721515AD,6.50,6.50,6.50,158.33,"Hub Assembly",8.60
J0935758,3.25,3.25,1.25,30,"Small Parts Kit",0.80
RT28059,8.00,9.00,2.00,81.67,"LED Headlight Bulb Kit",1.19
56045043AG,1.75,3.50,1.25,14.17,"Brake Light Switch",0.10
J8130750,3.50,3.50,1.25,26.67,"Universal Joint",1.10
T90BSG,12.00,12.75,1.50,50,"Transmission Overhaul Kit",2.90
BT40037,11.00,12.00,3.75,48.45,"Beach Topper",3.69
5012454AB,3.25,3.25,0.50,8.25,"Pinion Seal",0.30
T4MASKIT,6.00,6.50,3.00,233.33,"Transmission Master Overhaul Kit",3.40
J3197636,11.00,22.00,3.00,20,"Cylinder Head Gasket",0.40
RT34101,3.50,12.25,2.50,125,"Tailgate Hinge Set",5.40
TK12,10.00,14.00,5.50,61.67,"Tune Up Kit",4.00
J0120751,3.00,3.25,2.00,5.42,"Transfer Case Output Seal Kit",0.30
RT28067,3.25,3.25,1.50,31.67,"LED Bulb Kit",0.13
J0640411,2.25,2.25,0.12,1.67,"Thrust Washer",0.10
5056203AD,0.50,12.00,0.50,31.67,"Decklid Support",0.25
J5356500,6.00,28.50,4.25,575,"Drive Shaft",10.30
RT31017,13.00,18.00,8.00,475,"HD Brake Booster Kit",20.00
J8134037,1.50,1.50,0.13,4.33,"Cluster Gear Thrust Washer Race",0.10
J0640893,3.00,3.00,0.12,0.83,"Input Bearing Retainer Washer",0.10
RT21052,4.00,34.50,2.25,300,"HD Track Bar",9.00
4884690AA,3.50,3.75,1.75,30,"Exhaust Valve",0.13
5174001AA,4.00,9.75,3.25,48.33,"Brake Pad Set",4.60
RT34025,5.00,50.75,1.75,65,"Bumper Overlay",3.60
68144219AE,4.00,11.00,3.00,7.84,"Fascia Bracket",0.40
52059226KL,8.50,12.50,2.75,128.33,"Engine Mount Kit",21.00
J0641775,4.00,11.50,2.00,65,"Connecting Rod",2.20
5135014AA,4.00,4.00,4.00,30,"Cv Joint Boot Kit",0.70
J0800986,0.50,0.25,0.50,0.37,"Valve Seal",0.10
4581161,1.50,1.75,1.25,2.83,"Sway Bar Bushing",0.10
4891967AC,6.75,8.75,6.75,30.83,"Air Filter",1.00
4743095AA,3.00,3.00,3.00,14.17,"Control Arm Bushing",0.90
RT26071,3.50,5.00,2.50,35,"Hood Lock",0.40
J8134246,1.00,22.00,1.00,12,"Power Window Flex Rack",0.10
J8134270,7.50,12.50,5.50,75,"Brake Master Cylinder",8.60
RT33020,5.00,9.00,1.75,15,"Recovery Gloves",0.19
4857040AB,11.00,19.50,7.00,133.33,Headlight,5.30
53032800AA,2.00,2.50,1.00,6.33,"PCV Valve",0.10
4857700AB,13.25,18.25,8.00,150,Headlight,5.30
5175980K,3.50,5.25,1.75,60,"Crankshaft Main Bearing Set",0.70
56041887AA,3.50,3.75,1.75,63.33,"Oxygen Sensor",0.30
AXGS,0.50,0.50,0.50,10.83,"Transmission Gasket & Seal Kit",0.40
4608303,1.25,3.25,1.25,12.5,"Oil Pressure Switch",0.13
J0923301,9.50,12.00,1.00,5,"Transmission Gasket Set",0.20
JA001001,1.00,1.00,0.12,1.83,"Intermediate Shaft Lock Plate",0.10
A6747,3.75,7.25,2.25,108.33,"Crankshaft Main Bearing Set",1.00
J0998350,0.50,2.25,0.50,2.67,"Drum Brake Adjuster Nut",0.10
3507898AB,3.25,3.50,1.25,26.67,"Axle Shaft Bearing",0.50
5AHK6,26.00,46.00,5.00,108.33,"Fender Flare Kit",12.00
RT10215T,9.50,35.00,9.50,380,"Replacement Soft Top",15.00
SCP20130,19.50,21.50,3.50,59.99,"Seat Cover Set",2.81
H0061628,7.50,14.75,6.50,14.83,"Radiator Hose",1.10
J3209971,3.25,3.25,1.50,25,"Synchronizer Blocking Ring Set",0.60
552549197,26.50,51.00,7.50,70,"Fender Flare",11.50
4792752AE,6.50,15.75,0.12,43.33,"Cylinder Head Gasket",0.88
4856370,2.25,2.25,0.25,28.33,"Pinion Shim Set",0.10
J8126691,4.00,8.00,4.00,115,"Blower Motor",2.70
AX5LMASKIT,11.00,13.00,2.50,400,"Transmission Master Overhaul Kit",5.20
4617210,3.25,1.25,3.25,93.33,"Governor Solenoid",0.20
H0061538,11.00,20.00,4.25,20.67,"Radiator Hose",1.50
83502652,0.75,1.50,0.50,21.67,"Transfer Case Switch",0.10
4509774,14.00,15.00,4.75,200,"Control Arm",9.40
J0938111,1.00,4.00,0.50,7.67,"Brake Shoe Return Spring",0.10
4782666AE,12.25,12.75,5.00,96.67,"Control Arm",6.60
4860068AD,3.50,18.00,2.00,27.5,"Brake Hose",0.50
J8130974,2.25,2.25,0.12,1.25,"Speedometer Gear Snap Ring",0.10
J8125847,9.50,12.00,4.00,36.67,"Brake Shoe Set",6.00
J0644340,0.25,2.75,0.25,1.58,"Axle Hub Key",0.10
RT10337,9.50,36.00,9.25,430.55,"Replacement Soft Top",21.30
BRT10037,9.25,35.00,9.25,375,"Bowless Soft Top",17.00
55055233AEK,19.00,64.00,10.00,375,"Header Panel Kit",27.00
4636258,6.00,9.00,5.75,50,"Water Pump",2.30
4659238,3.25,3.25,1.00,31.67,Bearing,0.50
RT31034,14.00,15.00,6.50,350,"Performance Brake Kit",33.00
J8120143,6.50,14.00,1.00,10.83,"Accelerator Cable",0.10
SR450MK,3.25,3.25,1.25,56.67,"Small Parts Master Kit",0.50
4431156,12.00,12.75,1.75,75,"Clutch Disc",3.40
RT34094,4.00,7.50,2.50,80,"Door Hinge Set",3.13
6034120,0.50,0.75,0.50,0.63,Screw,0.02
J3231217,0.75,0.75,0.25,0.63,Fuse,0.10
68031388AA,8.00,8.80,3.50,48.33,"Crankshaft Retainer  & Seal Kit",0.75
J8124934,2.00,2.00,0.13,1.08,"Main Shaft Snap Ring",0.10
6036482AA,0.77,2.88,0.88,2.17,"Wheel Stud",0.13
J0943140,2.50,2.50,0.50,2.58,"Drum Brake Adjuster Lever",0.10
RT34089,7.00,7.00,5.00,25,"Fuel Filler Bezel",0.60
52040123,8.00,32.00,5.00,53.33,"Power Steering Pressure Hose",1.10
G9436750,0.63,1.38,0.63,1.3,Bulb,0.02
4726035AE,5.50,41.00,5.25,158.33,"Axle Shaft Assembly",24.00
H0061285,1.50,13.00,1.50,8.5,"Radiator Hose",0.40
J0945306,0.75,2.75,0.75,0.83,"Brake Shoe Return Spring",0.02
J8134017,0.25,1.75,0.25,6.25,"Thrust Bearing Washer",0.10
J5352163,4.00,31.50,2.50,100,"Drag Link Assembly",8.60
RT10337T,10.00,36.00,9.00,430.55,"Replacement Soft Top",21.30
J8127652,18.00,1.25,12.50,8.33,"Transmission Filter Kit",0.80
A976,2.75,2.75,0.25,3.33,"Output Shaft Bearing Snap Ring",0.10
J0946968,1.50,1.00,6.50,16.67,"Steering Bellcrank Shaft",1.10
T150,4.00,1.75,4.00,48.33,"Small Parts Kit",0.60
J3235712,4.25,4.25,3.00,11,"Transmission Mount",1.80
4228564,1.00,1.75,1.00,3.33,"Leaf Spring Bushing",0.10
5137665AB,3.00,3.00,2.00,31.67,"Brake Caliper Rebuild Kit",0.40
5066050AA,5.00,7.00,5.00,96.67,"Pinion Flange",4.10
J0989852,4.50,2.00,4.50,20.83,"Parking Light",0.60
D30EMASKIT,4.25,8.00,6.00,165,"Differential Overhaul Kit",4.00
J3112780,1.00,4.50,0.50,0.78,"Brake Shoe Return Spring",0.10
4364781,3.00,3.00,0.50,7,"Brake Caliper Seal Kit",0.10
CT20235T,30.00,50.00,9.50,925.7,"Complete Top",74.00
AX55X2,6.00,6.25,2.50,208,"Fifth Gear Kit",2.80
D44JK456R,11.25,16.50,7.00,316.67,"Ring & Pinion",16.50
RT28026,3.50,8.00,2.75,13.33,"Side Marker Light",0.60
CA10337,11.50,15.25,7.00,218.33,"Cover All Kit",6.60
5012671AC,31.00,42.00,9.00,183.33,Fender,7.10
5072145AA,4.00,4.00,1.75,20,"Blower Motor Resistor",0.20
4612367,7.00,9.00,3.50,63.33,"Engine Mount",3.40
J3150046,3.25,3.25,1.25,15.83,"Axle Shaft Bearing",0.40
J3242139,5.25,13.50,4.00,141.67,"Oil Pump Kit",5.00
TK1,10.00,14.00,5.50,73.33,"Tune Up Kit",4.50
J8126636,3.50,3.50,1.75,16.5,"Universal Joint",1.10
4388589,2.00,2.25,0.75,3,"Headlight Bulb Retainer",0.10
4663635,5.25,15.25,2.25,90,"Timing Chain",4.30
J0124145,0.75,2.75,0.75,1.07,"Bellcrank Bolt",0.10
A1445,4.50,3.50,4.00,58.93,Yoke,1.60
J8126813,3.50,3.50,0.25,3.33,"Main Shaft Bearing Snap Ring",0.10
J3223547,2.75,2.75,0.50,2.77,"Exhaust Seal",0.30
J3229033,0.75,3.00,1.00,1,"Brake Caliper Support Clip",0.20
4644364,24.00,35.50,8.75,233.33,Radiator,12.00
53007563AB,1.25,1.50,1.25,4.33,"Oil Filter Connector",0.10
56046955AF,3.25,3.25,1.25,113.33,"Key Fob",0.13
55079378AE,15.50,20.00,10.00,275,Headlight,6.30
J8124644,3.25,3.25,2.00,108.33,"Second Gear",1.60
J3250005,1.00,1.00,0.75,11.33,"Pilot Bearing",0.10
5159661AA,5.25,10.00,2.00,136.67,"Piston Ring Set",0.80
J5360986,4.25,46.00,4.25,550,"Drive Shaft",12.00
53031045,3.75,3.75,1.25,38.33,"Drive Belt Idler Pulley",0.31
53030497,2.25,2.50,2.00,3.67,"PCV Valve Elbow",0.10
L0003057,1.00,2.00,1.00,2,Bulb,0.10
J0992289,3.25,3.25,1.25,41.67,"Main Shaft Bearing",1.00
J0645544,1.00,15.50,1.00,14.17,"Brake Hose",0.30
BELT3B,7.00,13.50,5.00,96.67,"Seat Belt",3.00
J8130256,4.50,5.00,1.50,42.47,"Synchronizer Blocking Ring Set",0.60
BT30015,11.00,12.00,3.75,52.5,"Beach Topper",3.38
J5350586,3.50,46.00,10001.00,56.67,"Tie Rod Assembly",5.60
CC10109,12.00,13.00,9.50,83.99,"Cab Cover",7.69
55294926K,18.00,63.00,7.50,381.67,"Header Panel Kit",23.40
RT28066,3.00,5.00,2.25,31.67,"LED Bulb Kit",0.13
TK11,10.00,14.00,5.50,71.67,"Tune Up Kit",4.00
J8124071,5.00,5.50,2.50,66.67,"Differential Carrier Bearing Kit",2.00
RT26030,16.00,2.50,16.00,78.33,"Grille Insert Set",2.00
RT34010,3.00,23.50,1.00,23.33,"Entry Guard Set",1.20
805654,3.25,3.25,1.50,25,"Brake Master Cylinder Repair Kit",0.20
36364,3.25,3.25,0.50,2.83,"Axle Shaft Slinger",0.10
RT24009,3.00,3.00,2.00,38.33,"Shift Knob",0.31
4687214,0.50,2.50,0.50,4.58,"Door Jamb Switch",0.10
5KFKFR,18.50,54.00,13.00,148.33,"Fender Flare Set",12.50
4637155,7.00,10.25,1.75,21.67,"Ignition Wire Set",0.50
119138,0.50,2.25,0.50,2.25,"Valve Guide",0.10
5010321AC,9.50,14.00,4.00,483.33,"Ring & Pinion",20.30
5017183AB,5.75,29.00,4.75,53.33,"Coolant Air Bleeder Housing",2.20
994262K,3.00,3.00,1.00,53.33,"Axle Shaft Bearing Kit",0.80
4746835,4.75,4.75,4.75,48.33,Yoke,2.40
J0946784,4.00,4.00,1.75,91.67,"Output Shaft Gear",2.10
68002271AB,29.00,70.00,21.00,116.67,Fascia,11.00
68144224AD,4.20,21.50,2.00,17.5,"Fascia Bracket",0.20
J8127215,10.00,13.00,10.00,5.5,"Transmission Gasket Set",0.20
4897451AA,10.00,20.50,9.50,115,Strut,12.00
4891721AB,3.00,13.00,1.00,35,"Accessory Drive Belt",0.50
4443971,4.75,6.25,4.00,86.67,"Ignition Coil",3.10
15044,1.00,0.25,2.50,1.58,"Shift Fork Insert",0.10
J3236685,1.25,1.50,0.75,1.47,"PCV Valve Elbow",0.10
G444618,0.75,0.75,0.75,1,"Water Jacket Plug",0.10
J8060604,7.00,20.00,5.00,9.7,"Radiator Hose",1.10
J0991043,4.00,8.00,4.00,183.33,"Cluster Gear",4.50
J0912354,0.12,1.00,0.12,0.28,"Reverse Idler Bearing",0.10
4792968AD,6.00,9.50,5.50,58.33,"Water Pump",3.00
56003104,7.25,9.25,2.00,15.83,"Headlight Bezel",0.20
5016708AD,6.00,10.75,5.50,98.33,"Multifunction Switch",0.70
4546679,8.05,8.50,3.50,23.33,"Fuel Filter",0.80
83503424,8.25,8.50,5.75,483.33,"Ring & Pinion Kit",12.40
J4200414,0.75,0.75,0.50,4.67,"Steering Wheel Nut",0.10
J5752010,4.75,3.25,5.25,7.5,"Shift Boot",0.30
4448878,5.50,5.75,6.00,56.67,"Water Pump",2.20
4668302,7.75,8.50,3.75,115,"Clutch Master Cylinder",0.70
G0004256,1.00,23.00,1.00,33.33,"Hood Support",0.60
52059912AC,4.50,4.50,2.00,14.17,"Coil Spring Isolator",0.60
JY013251,8.00,8.00,0.50,30,"Accessory Drive Belt",0.10
5KF09RXFAG,19.00,54.00,13.00,80,"Fender Flare",8.80
56041018AD,2.25,2.50,2.00,23.33,"Map Sensor",0.10
83507079K4010,3.75,9.25,1.75,75,"Crankshaft Main Bearing Set",1.30
4728859,2.00,3.00,1.50,26.67,"Wheel Cylinder",0.80
L000PSX24W,2.25,2.50,2.00,23.33,"Fog Light Bulb",0.02
4728406,11.00,12.00,2.75,18.33,"Air Filter",1.20
J5752813,3.25,3.25,1.25,5,"Dash Light",0.02
55175727,14.00,5.00,45.00,38.33,"Fender Flare",2.00
BELT1B,4.00,4.00,4.00,24.17,"Seat Belt",1.20
6505026AA,0.40,0.80,0.40,2.33,Screw,0.02
52004152,1.00,17.00,1.00,25,"Brake Hose",0.40
56041345AE,3.75,3.75,1.75,115,"Oxygen Sensor",0.25
4578600AA,5.75,29.00,4.75,125,"Axle Shaft Assembly",15.00
5109605AC,1.00,28.00,1.00,56.67,"Liftgate Support",1.30
4593848AA,3.25,3.25,1.50,18.33,"Drive Belt Idler Pulley",0.30
68251580AC,3.75,20.25,3.75,68.33,"Steering Stabilizer",5.00
3861473,1.50,5.00,1.50,10.83,"Window Handle",0.30
D300MASKIT,12.00,12.75,1.50,215,"Transfer Case Overhaul Kit",7.40
FC10309,12.00,16.50,11.00,73.44,"Full Car Cover",9.50
L01295NA,1.25,2.00,1.25,2.77,Bulb,0.10
5066309TI,3.75,9.00,3.00,36.67,"Brake Pad Set",2.20
5143208AA,25.50,33.00,8.50,191.5,"Cooling Fan Module",13.40
D44WKMASKIT,6.00,8.00,4.50,260,"Differential Overhaul Kit",5.40
J3174215,3.25,3.50,2.50,10,"Oil Filler Cap",0.30
5137609AB,3.00,3.00,3.00,25,"Brake Caliper Rebuild Kit",0.60
4612453,3.50,3.50,1.50,56.67,"Idle Air Control Valve",0.30
4792353,7.00,7.50,1.50,53.33,"Timing Belt",0.40
RT31002,11.50,11.50,7.00,180,"Brake Rotor Set",28.00
J3227812,2.50,3.50,2.50,15,"Starter Solenoid",0.70
3192371,3.25,3.50,1.75,30,"Main Shaft Bearing",1.30
55366676K4,8.00,13.50,5.00,233.33,"Body Mount Kit",14.00
5154262AA,6.00,6.00,6.00,108.33,"Hub Assembly",10.00
J0943466,4.00,4.25,1.75,208,"Synchronizer Hub",1.30
4797621,6.00,13.00,5.00,53.33,"Brake Hose",0.80
5103377AA,1.50,3.00,0.25,8.33,"Fuel Injector O-Ring Kit",0.02
RT34093,4.00,7.75,2.50,80,"Door Hinge Set",3.63
4766910AH,13.50,28.50,8.50,70,"Control Arm",14.00
5182026AA,5.00,5.25,5.00,45,"Fog Light",0.60
4607084,4.00,5.00,1.50,27.5,Flasher,0.10
4721995AA,12.00,12.00,1.75,56.67,"Brake Rotor",16.30
J3234427,8.00,12.00,7.50,80,"Water Pump",10.80
BHK3,3.75,20.75,3.75,75,"Brake Hose Kit",2.00
4656731AH,20.00,21.50,3.00,141.67,"Control Arm",9.90
56010125AH,6.00,15.50,4.50,125,"Multifunction Switch",0.80
J0940522,3.50,3.50,0.12,1,"Steering Box Gasket",0.02
TC303209,8.00,14.00,5.00,20.47,"Tire Cover",2.06
4793313,4.50,7.50,3.00,60,"Wiper Switch",0.30
5191825AA,8.00,8.75,3.50,83.2,"Brake Caliper",5.80
J5455074,8.00,36.50,3.75,30,"Fender Flare",1.20
4721677AA,12.00,12.00,1.50,53.33,"Brake Rotor",12.70
83503575,5.50,41.25,5.50,316.67,"Drive Shaft",12.50
G0004027,1.00,22.00,1.00,40,"Decklid Support",0.60
52003769,5.00,21.50,3.00,41.67,"Power Steering Pressure Hose",0.60
J0052979,3.25,3.25,1.25,63.33,"Differential Carrier Bearing",0.90
55155122AG,6.50,8.25,6.00,108.33,"Wiper Motor",2.80
CB20037,12.00,12.00,8.50,97.5,"Combo Beach Topper",6.90
CT20037T,30.00,40.00,10.50,920.93,"Complete Top",64.00
T150BSG,12.00,13.00,2.50,81.67,"Transmission Overhaul Kit",2.90
5KF08RXFAG,19.00,54.00,13.00,80,"Fender Flare",8.80
J3697757,1.50,1.50,1.00,8,"License Plate Light",0.10
4720653010,4.25,9.25,1.25,44,"Piston Ring Set",0.80
5FW74DX8AC,14.00,37.00,4.00,60,"Fender Flare",1.30
J3184013,3.25,3.25,1.25,41.67,"Main Shaft Bearing",0.90
J0991186,3.25,3.25,2.25,91.67,"Clutch Release Bearing",0.80
TK13,10.00,14.00,5.50,61.67,"Tune Up Kit",3.70
J4485780,13.75,14.00,3.00,128.27,"Pressure Plate",17.80
4663515,4.50,4.50,2.00,60,"Timing Belt Tensioner Bracket",1.60
4644363,23.50,35.00,9.50,216.67,Radiator,16.00
53003242,4.25,46.50,4.25,466.67,"Drive Shaft",13.20
4641181,4.25,8.25,4.00,23.33,"Cv Joint Boot Kit",0.90
68031597AB,2.75,5.25,2.75,20,"Oil Filter",0.19
4762194,7.00,31.00,7.00,200,"Axle Shaft",19.00
5017438AA,4.00,4.00,1.75,85,"Pinion Bearing Set",1.50
6503046,0.88,0.50,0.88,2.33,Nut,0.02
TK17,10.00,14.00,5.50,55,"Tune Up Kit",4.20
55235407,1.25,26.00,0.75,11.67,"Door Glass Weatherstrip",0.30
5019802AA,6.50,11.50,2.75,46.67,"Parking Brake Shoe Set",2.30
CB30111,12.00,12.00,8.50,58.33,"Combo Beach Topper",4.63
926802,3.25,3.25,1.25,40,"Pinion Bearing Cup",0.50
4809129AB,16.50,40.50,4.50,294.67,"A/C Condenser",11.10
4684756AC,4.00,6.25,4.00,20.83,"Bump Stop",0.60
4606487AB,1.25,2.25,1.25,23.33,"Air Temperature Sensor",0.10
J0991200,6.00,9.50,0.12,1,"Shift Cover Gasket",0.20
J8126739,6.00,11.00,5.50,86.67,"Brake Master Cylinder",9.90
RT28064,3.25,3.25,1.00,15,"LED Bulb Kit",0.02
J3213846,1.00,16.00,1.00,15,"Brake Hose",0.30
RT27059,4.25,9.50,2.25,31.5,"Dash Tray",0.60
68157610AA,6.00,11.00,6.00,125,"Brake Caliper",11.40
CB10037,11.25,15.00,7.00,126.67,"Combo Beach Topper",6.31
4857041,11.00,19.50,7.00,133.33,Headlight,5.30
RT20008,10.00,66.00,9.00,208.33,"Tube Bumper",39.00
RT31038,13.25,18.00,8.00,475,"HD Brake Booster Kit",18.30
68223569AD,5.50,5.75,2.50,40,"Ignition Coil",0.60
J81270711,8.50,33.50,8.50,191.67,"Axle Shaft Kit",18.00
RT22001,25.25,37.63,13.75,488.33,"Fuel Tank Kit",27.60
5155461AF,11.50,15.50,7.00,115.83,Mirror,4.10
J3241629,1.75,2.25,1.00,2.08,"PCV Valve",0.10
52078530,10.00,1.00,10.00,25,"Accelerator Cable",0.50
56044736AC,5.75,10.25,4.75,158.33,Starter,7.00
68078604AA,3.25,3.25,1.25,8,"Timing Cover Gasket Set",0.40
53020560K,15.00,21.25,9.50,140,"Engine Oil Pan Kit",9.00
2881687,0.50,2.50,0.50,2.08,"Drum Brake Adjuster Screw",0.10
