Number,Width,Length,Height,Price,Description,Weight
4864651,2.25,2.50,2.00,30,"Lock Cylinder",0.20
68030940AA,3.00,3.50,2.75,30,"Fuel Cap",0.30
52059252K,8.50,12.00,7.00,148.33,"Engine Mount Kit",23.00
6503198,0.75,8.00,0.75,7.5,"Drive Belt Tensioner Bolt",0.10
55135898AE,1.50,29.50,1.00,21.67,"Door Glass Weatherstrip",0.44
53021569AD,1.50,2.75,0.50,5.67,"Spark Plug Well Gasket",0.10
68031478AA,5.00,15.00,2.25,125,"Timing Belt Kit",1.20
5085220AC,4.50,27.00,1.50,125,"Axle Shaft Assembly",14.60
5139933AB,8.00,12.00,7.50,14.17,"Timing Cover Gasket",0.90
5093820AB,3.50,3.50,1.25,46.67,"Universal Joint",1.40
RT34047,7.00,9.00,2.25,63.33,"Stone Guard Set",1.30
4746127,1.75,1.75,0.75,10.42,"Input Shaft Bearing",0.10
56042299AG,6.00,8.00,4.25,73.33,"Multifunction Switch",0.60
5115047AH,9.00,13.00,6.00,93.33,Mirror,3.40
4596198,2.50,2.50,1.50,10.83,"Coolant Bottle Cap",0.20
640784,1.75,1.75,0.25,0.75,"Input Shaft Snap Ring",0.10
53032763AA,5.00,5.00,1.00,8.5,"Throttle Body Gasket",0.10
5363421H,7.50,8.00,4.00,75,Hub,7.40
RT27036,3.00,20.50,2.50,36,"Interior Door Accent Set",0.60
RT25001,14.00,30.50,6.00,297.5,"Door Surround Kit",13.00
RT31011,13.25,18.00,8.50,475,"HD Brake Booster Kit",18.60
53022009AA,6.00,6.00,1.00,9.17,"Valve Cover Gasket",0.20
55155628AB,3.50,3.75,1.75,9.17,"Side Marker Light",0.10
5139719AA,3.50,3.75,1.75,21.67,"Blower Motor Resistor",0.10
55116813AA,7.50,7.50,4.50,81.67,"Fan Clutch",3.10
53020827AB,6.00,7.00,5.00,91.67,"Oil Pump",2.60
5303843AB,10.50,10.50,10.50,98.33,Headlight,3.40
RT26015,13.50,52.50,4.25,191.67,"Side Steps",24.00
52125112AE,14.25,14.50,6.50,98.33,"Control Arm",10.00
392909,0.50,0.75,0.50,0.67,"Grease Fitting",0.10
52114076AA,1.50,33.00,1.50,96.67,"Axle Shaft",12.50
68003705AA,3.25,3.25,1.25,10.83,"Brake Pad Spring Kit",0.10
53008283,1.00,1.25,1.00,1.25,"Rocker Arm Pivot",0.10
4659677AC,4.50,5.00,2.50,32.5,"Neutral Safety Switch",0.20
53003803,8.00,8.00,8.00,233.33,Alternator,9.60
J8130364,1.00,1.00,0.50,3.17,"Castle Nut",0.10
4666034AB,7.00,17.00,0.25,23.33,"Cylinder Head Gasket",0.40
810585,12.00,1.00,22.00,56.67,"Complete Engine Gasket Set",1.30
55395243AB,5.25,59.50,4.00,10,"Hood Weatherstrip",1.00
XY1992S,14.50,15.00,5.00,308.33,"Clutch Kit",21.10
52099499AG,5.50,42.00,5.50,400,"Drive Shaft",19.50
4713356,3.25,3.50,1.50,6.33,"Drum Brake Adjuster",0.30
800093K,3.00,3.50,1.00,15,"Crankshaft Seal Kit",0.10
2944580,0.75,4.00,0.50,1.42,"Drum Brake Adjuster Spring",0.10
RT20019,8.00,72.00,14.00,258.33,"Tube Bumper",30.00
8127079K,8.00,36.00,8.00,158.33,"Axle Shaft Assembly",22.00
53000899,1.00,2.50,0.50,8.17,"Coil Spring Retainer",0.10
83502719,3.00,3.00,2.00,17.33,"Blower Motor Switch",0.20
55177200AF,52.00,66.00,8.00,291.67,Hood,43.00
83502633,21.00,34.00,13.50,166.67,"Fuel Tank",20.00
FW80PX9,2.00,5.50,1.50,8.17,"Window Handle",0.10
52100216,1.50,30.00,1.50,23.33,"Fuel Tank Strap",1.00
52125321AB,3.50,18.50,3.00,36.67,"Control Arm",3.80
4606824AC,2.50,8.00,2.50,30,"Ignition Coil",0.50
4861756AA,10.00,11.00,2.75,20,"Air Filter",0.90
5758254C,6.00,8.00,4.00,56.67,"Tail Light",1.20
52126114AC,4.50,12.00,3.25,40,"Tie Rod End",3.30
83500896,4.75,4.75,2.00,49.17,"Brake Master Cylinder Repair Kit",0.40
RT21037,8.25,12.00,6.75,125,"Lift & Level Kit",11.10
52088433,2.75,4.75,5.25,9.67,"Control Arm Bushing",0.90
33002971,1.50,1.50,0.12,0.92,"Oil Filter Adapter O-Ring",0.10
639265,3.25,3.25,0.50,4,"Pinion Seal",0.30
6101523,1.50,1.75,0.50,0.75,Fuse,0.10
55056635AA,21.00,34.50,7.00,260,"A/C Condenser & Transmission Cooler",9.00
53022095AF,4.50,12.50,4.50,120,"Water Pump",7.00
5066539AA,6.00,8.00,4.25,133.33,"Differential Carrier Shim Kit",4.80
4723035,4.00,23.00,3.00,93.33,"Shock Absorber",5.40
5066486AA,4.00,4.50,0.25,46.67,"Axle Shaft Retainer",0.40
4612277,4.00,12.00,1.00,36.67,"Accessory Drive Belt",0.50
3766674,0.50,1.00,0.50,1.5,"Bleeder Screw",0.10
RT31027,12.50,12.75,4.75,300,"Disc Brake Service Kit",39.00
5273438AE,4.50,40.00,4.50,141.67,"Axle Shaft Assembly",17.60
RT34080,8.00,9.00,4.00,83.33,"Tail Light Guard Set",2.00
RT31023,13.50,18.00,8.50,475,"HD Brake Booster Kit",18.10
68033237AB,26.50,29.00,8.50,283.33,"A/C Condenser & Transmission Cooler",11.40
942115K,4.50,4.50,2.00,35,"Intermediate Shaft Kit",2.50
A9332,9.00,9.00,3.00,65,"Parking Brake Drum",6.10
68019927AA,3.75,3.50,1.75,10.83,"Pinion Seal",0.20
33003520,1.50,5.00,1.50,21.67,"Exhaust Valve",0.20
53013599AB,6.00,22.25,6.00,106.67,"Exhaust Manifold",9.00
WT150K,3.25,3.25,1.25,6,"Synchronizer Key & Spring Kit",0.06
83300077,14.50,17.00,1.50,10,"Transmission Filter Kit",0.80
RT26069,4.00,9.25,1.50,35,"Hood Lock",0.80
RT26059,10.50,57.00,7.25,250,"Side Steps",36.00
68191349AA,2.25,7.00,2.00,7.5,"Oil Filter",0.20
2421306,1.75,2.75,1.00,15,"Connection Rod Bearing",0.10
RT28043,5.75,8.00,1.50,73.5,"LED Dome Light Kit",0.20
RT30014,5.25,6.25,2.50,21.75,"Mirror Relocation Bracket Set",2.30
RT30011,7.25,7.75,5.50,63.33,"Mirror Kit",3.60
5191268AA,6.00,6.50,3.00,75,"Brake Caliper",3.60
68079375AB,2.00,2.50,2.00,25.83,"Crankshaft Position Sensor",0.06
6506214AA,1.25,1.25,1.25,4.17,"Engine Oil Drain Plug",0.10
5183523AA,7.00,7.00,5.50,96.67,"Pinion Flange",4.70
4854038,4.00,28.00,0.25,23.33,"Manifold Gasket",0.50
927417,18.00,18.00,3.00,73.33,"Steering Wheel",3.80
53020742AC,1.25,3.50,1.25,20,"Rocker Arm",0.30
53022340AC,14.00,14.50,4.75,126.67,"Water Pump",7.00
68059645AA,20.00,22.00,3.25,123.33,"Window Regulator",4.50
55395578K,13.75,14.25,3.25,45.83,"Windshield Bracket Set",4.60
52000089,9.50,12.00,6.00,400,"Steering Box",16.40
55054577,6.75,6.50,12.25,108.33,Headlight,2.50
53020749AC,2.00,2.50,2.00,6.67,"Valve Spring",0.20
5072526AB,7.00,9.50,4.50,116.67,"Brake Master Cylinder",2.00
68040177AA,13.50,13.50,2.50,75,"Brake Rotor",22.00
RT20006,20.00,50.00,7.00,225,"Tube Bumper",36.00
AM20BK,12.75,12.75,1.50,165,"Differential Overhaul Kit",4.60
RT26082,7.75,8.00,2.00,24,"Fuel Door",1.00
RT28105,10.50,10.50,10.00,325,"Led Headlight Kit",6.20
4798992AD,10.75,22.75,1.75,51.67,"Engine Gasket Set",1.20
5356651K,5.25,25.50,4.25,61.67,"Fuel Tank Strap Kit",3.30
4694766,1.75,3.50,1.75,11.67,"Power Steering Reservoir Cap",0.10
55135879AF,1.50,30.50,0.75,21.67,"Door Glass Weatherstrip",0.70
4638844,4.00,4.00,4.00,31.67,"Shifting Sector",1.10
68003698AA,3.25,3.25,3.25,20,"Brake Caliper Rebuild Kit",0.60
RT28022,6.00,6.50,3.00,20.83,"Parking Light",0.40
RT27048,5.00,10.00,2.25,12.63,"Grab Handle Set",1.19
RT31012,14.50,15.00,6.50,266.67,"Performance Brake Kit",35.00
5KFK,19.00,54.00,13.00,298.33,"Fender Flare Kit",17.60
5073945AA,0.75,1.25,0.75,4,"Engine Oil Drain Plug",0.06
83500797,3.75,3.75,1.25,10.83,"Timing Chain Damper",0.40
RT34038,5.00,54.00,3.00,140,Bumper,10.60
68003707AA,7.75,8.50,5.00,91.67,"Brake Caliper",8.10
52000177K,7.50,59.25,6.25,165,"Bumper Kit",22.00
5013723AB,4.50,4.50,2.00,32.5,"Liftgate Glass Hinge",0.63
52040348,7.00,7.00,1.00,15.83,"Leaf Spring Plate",3.40
AP1000,3.25,3.25,1.50,56.67,"Ignition Switch Actuator",1.00
5085505AD,5.00,5.00,2.50,12.5,"Coil Spring Isolator",0.25
55135890AF,1.50,30.25,0.75,35,"Door Glass Weatherstrip",0.60
83500513,1.00,1.00,0.25,0.83,"Fill Or Drain Plug Gasket",0.10
5183448AA,3.25,3.25,1.25,21.67,"Wire Harness",0.10
5184894AA,2.50,2.50,0.25,6.33,"Thermostat Seal",0.20
991021X,4.25,4.25,1.75,30,"Synchronizer Repair Kit",0.70
SR4GS,10.25,11.50,0.50,6.25,"Transmission Gasket & Seal Kit",0.20
52100128,8.50,27.00,2.00,30,"Fuel Tank Strap",1.70
68001386AA,5.00,10.00,2.00,141.67,"Piston Ring Set",0.60
52852912K,13.00,20.50,4.50,66.67,"Transmission Pan Kit",5.60
A10469,4.00,4.25,1.75,131.67,"Main Shaft Gear",2.40
57010187AC,9.00,13.50,8.00,126.67,Mirror,3.70
5165708AA,10.25,16.00,6.50,48.33,"Coolant Bottle",1.31
SP143877AB,1.00,3.75,0.75,10,"Spark Plug",0.13
RT26019,17.50,21.00,10.00,148.33,"Trail Can Tool Box",18.50
52109947AE,7.00,7.50,5.50,133.33,"Hub Assembly",10.00
56004879,2.50,4.00,2.50,30.83,"Fuel Gauge",0.20
68313815AA,4.00,4.00,4.00,108.33,"Water Pump",1.60
4884762AA,9.00,22.00,0.50,15,"Valve Cover Gasket",0.30
BKT4M,4.50,8.00,6.00,165,"Transmission Master Overhaul Kit",3.10
4761068,4.00,7.00,4.00,183.33,"Input Gear",3.30
2312425000,6.25,6.25,2.25,48.33,"Harmonic Balancer",4.60
5019536AA,7.00,11.25,4.50,45,"Brake Shoe Set",5.70
83501113,2.25,2.25,0.25,2.33,"Spindle Bearing Spacer",0.10
2944581,0.75,4.00,0.50,1.42,"Drum Brake Adjuster Spring",0.10
68065923K,13.50,18.25,8.00,78.33,"Transmission Pan Kit",7.20
RT28082,4.00,9.25,2.00,24,"LED Light Bar Hood Bracket Set",2.40
J0946177,1.00,1.00,0.75,2.5,"Pedal Bushing",0.10
T170BSG,12.00,12.75,1.50,68.33,"Transmission Overhaul Kit",3.40
A7443,9.50,11.00,9.50,7.33,"Transfer Case Gasket Set",0.20
68093232AA,3.75,5.00,0.02,8,"Exhaust Manifold Gasket",0.10
5033313AA,1.25,3.50,1.25,9.17,"Coolant Temperature Sensor",0.10
53010,1.50,5.50,1.25,4.17,"Clutch Alignment Tool",0.10
53054313,3.50,31.00,3.00,113.33,"Drag Link",7.40
83500369,4.00,4.25,1.75,15,"Steering Box Seal Kit",0.40
A474,1.00,1.50,1.00,1.15,"Wheel Stud",0.10
55155679AD,7.00,15.00,2.00,18.33,"Fender Flare Retainer",0.30
52038016R,0.75,24.00,0.75,18.33,"Power Steering Return Hose",0.30
5105178AG,4.00,20.00,4.00,56.67,"Shock Absorber",4.60
55176223,10.50,11.00,2.75,33.33,"Door Weatherstrip",1.10
RT31039,13.00,15.00,1.50,25,"Parking Brake Cable",0.90
RT28010,4.00,8.00,4.00,65,"Parking & Side Marker Light Kit",0.80
68003353AA,6.00,6.50,3.00,123.33,"Timing Chain Sprocket",3.10
5093511TI,4.00,9.00,3.00,41.67,"Brake Pad Set",3.00
68053132AA,2.25,2.50,2.00,10.83,"Power Steering Reservoir Cap",0.13
RT28029,4.00,7.00,4.00,40,"Parking Light Kit",0.56
53032383AB,4.00,4.00,1.00,6.33,"Throttle Body Gasket",0.10
5066064AA,2.75,2.75,1.25,4.17,"Axle Shaft Snap Ring",0.10
68080867AA,4.50,4.50,2.00,75,"Blend Door Repair Kit",0.40
SRKAX5,3.50,3.50,1.75,48.33,"Synchronizer Repair Kit",0.80
4882219,2.00,2.00,2.00,48.33,"Throttle Position Sensor",0.10
RT33013,13.00,24.00,1.50,116.67,"Vehicle Recovery Kit",21.00
5066763AA,0.13,3.50,0.13,5,"Crankshaft Support O-Ring",0.10
53032382AB,3.00,4.00,2.00,4.83,"Intake Manifold Seal",0.10
5149064AA,1.25,3.50,1.25,43.33,"Oil Pressure Sending Unit",0.10
RT20022,7.50,50.50,5.75,230,Bumper,16.50
55395653K2,5.50,5.75,2.50,50,"Hood Catch Kit",0.90
RT34034,8.00,8.00,3.75,75,"Stone Guard Set",1.50
68078268AB,25.00,77.00,18.00,233.33,Fascia,6.20
4856366,13.00,13.00,3.00,200,"Differential Gear Set",5.40
4734104,25.00,31.00,5.75,243.33,Radiator,15.10
56003010,3.25,7.50,2.00,96.67,"Parking Light",0.50
52040398,2.75,4.00,2.50,23.33,"Shackle Bracket",1.10
5184294RK,3.00,6.00,3.00,23.33,"Oil Filter Adapter Repair Kit",0.25
XY1991F,12.25,12.50,5.00,331.67,"Clutch Kit",14.60
J8132203,11.75,22.50,1.00,48.33,"Engine Gasket Set",1.00
RT21038,11.50,12.00,3.75,141.67,"Lift & Level Kit",10.50
53021538P,4.00,4.00,4.00,90,"Piston & Pin",1.40
4666033AB,7.00,17.00,0.25,23.33,"Cylinder Head Gasket",0.40
RT34029,5.00,5.00,1.00,10.83,"Footman Loop Set",2.00
53020678AC,11.00,23.00,7.00,125,"Engine Oil Pan",6.10
3190848K,2.50,25.00,0.50,15.83,"Dipstick Kit",0.25
XY1991S,14.00,14.50,4.50,308.33,"Clutch Kit",21.20
5191037AD,1.00,1.75,1.00,7.5,"Drive Shaft Bolt",0.10
RT26054,8.00,9.00,3.50,27.75,"Fuel Door",1.25
5066779AA,1.25,3.25,1.25,23.33,"Coolant Temperature Sensor",0.10
5147191AC,8.25,8.50,8.25,91.67,"Engine Mount",10.88
56009071,4.50,5.00,3.50,131.67,Clockspring,0.40
55079097AA,19.75,59.00,8.25,46.67,"Fender Liner",2.00
53022115AH,4.00,4.00,4.00,40,"Timing Chain Tensioner",0.31
6506293AA,1.00,1.00,1.00,1.67,Retainer,0.10
5012725AA,5.25,42.00,5.25,91.67,"Differential Plenum",0.30
57010185AC,9.00,13.50,8.00,108.33,Mirror,3.60
A568,5.75,6.00,1.00,10,"Leaf Spring Plate",1.30
978995K,2.00,5.00,2.00,41.67,"Windshield Weatherstrip Kit",4.10
55056382AA,2.50,6.50,0.50,6.67,"Coolant Bottle Cap",0.02
RT31004,13.00,13.00,6.00,210,"Brake Rotor Set",35.00
83501426T,2.50,2.50,2.00,7.33,Thermostat,0.10
52018176K,18.75,40.50,10.75,458.33,"Exhaust Kit",34.20
RT33009,4.50,12.75,4.00,27.5,"Receiver Kit",5.70
68029429K,2.75,4.75,2.25,81.67,"Connecting Rod Bearing Set",0.90
6503198K,1.50,8.25,0.75,20.83,"Drive Belt Tensioner Bolt & Collar",0.30
4741118,3.50,3.50,0.50,8,"Output Seal",0.10
J5462784,2.50,3.75,1.75,23.33,"Blower Motor Switch",0.10
68003569AA,3.75,3.75,1.50,55,"Axle Locker Sensor",0.19
6500911,0.75,2.50,0.75,0.83,Rivet,0.10
55360034AJ,11.25,28.50,2.50,115,"Window Regulator",3.80
83504934,7.75,13.75,5.00,400,"Ring & Pinion Kit",12.50
55026257K,13.00,64.50,7.00,141.67,"Bumper Kit",27.40
A878,0.75,1.25,0.75,1.58,"Cluster Gear Bushing",0.10
33004795,2.00,3.00,2.00,6.67,"Distributor Rotor",0.10
5017462AF,9.00,22.00,1.50,43.33,"Door Weatherstrip",3.00
4864599,3.50,15.00,1.50,63.33,"Accessory Drive Belt",0.60
5127180AA,11.00,11.50,6.00,500,"Ring & Pinion Kit",14.40
5115046AD,9.00,13.00,6.00,93.33,Mirror,3.40
931463,2.25,5.00,2.25,62.5,"Starter Drive",1.30
RT32005,7.50,8.00,4.50,83.33,"Wheel Spacer Set",7.80
K55038,11.00,11.00,8.00,658.33,"Carburetor Kit",10.30
4105409,4.00,4.00,4.00,5.83,"Oil Filter",0.70
52059730AB,19.00,44.00,6.00,483.33,"Catalytic Converter",10.00
52005285,8.50,8.50,2.50,26.67,"Pitman Arm",2.10
5016375AA,4.00,8.00,4.00,86.67,Yoke,3.70
4740834,10.50,11.00,9.00,483.33,"Differential Case Kit",16.50
5174185AC,3.00,12.00,1.50,18.33,"Sway Bar Link",0.80
RT31009,14.50,4.50,14.50,400,"Disc Brake Service Kit",42.50
52000229,4.00,4.00,1.50,7.5,"Coil Spring Isolator",0.40
8124999K,8.50,28.00,8.50,171.67,"Exhaust Manifold Kit",23.60
83500562,3.25,3.25,1.25,93.33,"Synchronizer Hub",0.80
4318138,4.00,0.75,1.00,4.17,"Spark Plug",0.10
52058995,4.00,11.50,5.00,58.33,"Transmission Mount",7.10
4638896,6.00,6.50,1.25,43.33,"Transfer Case Oil Pump",1.20
52088710AE,7.00,9.00,6.00,250,"Power Steering Pump",4.20
118432,5.75,6.00,2.75,25,"Generator Pulley",1.30
5037479AA,1.25,3.00,0.75,65,"Fuel Injector",0.10
83500632,9.00,12.00,0.12,6.67,"Transmission Gasket Set",0.10
4470365,3.75,1.50,3.75,14.17,"Steering Box Seal Kit",0.30
5033314AA,3.25,3.25,3.25,7.5,"Oil Temperature Sending Unit",0.10
4504575,3.25,3.25,1.50,38.33,"Universal Joint",1.40
RT21045,6.50,10.75,6.00,91.67,"Hd Shackle Kit",8.90
52109987AH,18.00,31.25,5.25,216.67,"Control Arm",24.50
52088355AB,5.75,21.75,4.00,56.67,"Control Arm",6.40
D300GS,9.00,12.00,1.00,25,"Transfer Case Gasket & Seal Kit",0.50
3251156K,12.50,13.00,8.00,150,"Disc Brake Service Kit",34.00
CAK2,26.50,28.00,4.50,665.87,"Control Arm Kit",48.20
55037948AD,4.00,12.00,4.00,17.5,"Radiator Hose",0.80
4666059AA,1.00,12.25,0.75,30,"Timing Chain",1.10
J3237818,1.75,1.75,0.50,8,"Differential Spider Gear Thrust Washer",0.10
4606093AE,3.25,3.50,1.50,40,"Knock Sensor",0.20
5AHFRKIT,3.00,4.00,1.00,9.17,"Fender Flare Hardware Kit",0.20
4778971,2.50,2.50,0.25,4.58,"Thermostat Housing Gasket",0.10
4167929,2.75,2.75,0.50,4.33,"Input Seal",0.10
52019480AD,10.25,26.00,5.25,316.67,"Catalytic Converter",6.50
SP149125AD,1.00,3.75,0.75,10.83,"Spark Plug",0.13
5015267AD,8.50,11.00,4.00,25,"Transmission Filter Kit",1.00
53032832AH,4.50,16.50,0.25,14.17,"Exhaust Manifold Gasket",0.40
52005739,7.00,3.25,2.00,18.33,"Tie Rod End",1.10
XY8990SA,15.00,15.00,5.00,350,"Clutch Kit",20.90
4627509AA,3.25,3.25,1.50,17,"Drive Belt Idler Pulley",0.31
68052381AA,6.00,8.00,4.25,75,"Brake Caliper",5.40
RT31030,12.00,12.00,5.00,183.33,"Brake Rotor Set",23.00
68247204AA,16.00,30.75,3.75,208.33,"A/C Condenser",7.00
46849,2.50,2.50,0.50,5,"Axle Shaft Slinger",0.02
RT27030,7.00,29.00,7.00,200,"Interior Accent Kit",5.00
4884571AB,4.00,4.00,4.00,9.67,"Thermostat Housing",0.31
55235571AB,2.50,8.00,2.50,36.67,"Door Check",0.50
52001162,20.25,3.50,3.50,36.67,"Control Arm",4.10
53013932K,5.00,13.00,0.50,14.17,"Exhaust Manifold Gasket Set",0.30
635811,1.25,1.25,0.12,1.33,"Cluster Gear Thrust Washer",0.10
A754,1.00,1.50,1.00,4.67,"Brake Shoe Eccentric",0.10
RT31033,14.50,15.00,5.00,300,"Performance Brake Kit",28.00
52089275K,14.50,14.50,5.00,291.67,"Disc Brake Service Kit",41.00
JA000837,1.50,1.75,0.75,3.33,"Tie Rod Clamp",0.10
RT31001,11.50,11.50,6.50,187.5,"Brake Rotor Set",30.00
55076469AG,20.00,21.75,3.50,93.33,"Window Regulator",4.40
68079868AA,1.50,12.50,1.25,38.33,"Wiper Arm",0.25
83501902,3.25,6.50,2.75,50,"Fuel Filter",0.90
8127071K,8.00,36.00,8.00,158.33,"Axle Shaft Assembly",22.90
RT34030,9.25,31.00,4.75,63.33,"Frame Cover",4.60
RT34063,8.50,8.50,3.00,83.33,"Stone Guard Set",1.30
52129480AC,8.00,8.00,8.00,53.33,"Engine Mount",4.31
T86AA,3.75,4.00,1.75,35,"Small Parts Kit",0.90
RT26027,8.50,8.50,3.00,51.67,"Stone Guard Set",1.50
4666153AC,10.25,21.00,10.25,216.67,"Engine Oil Pan",9.50
55366298AA,5.75,5.75,0.25,8.33,"Fuel Module Seal",0.06
CAK7,13.25,28.25,8.25,390,"Trailing Link Kit",38.80
55399290AF,1.50,35.50,1.00,53.33,"Door Glass Weatherstrip",0.80
5161320AC,12.00,24.00,6.00,66.67,"Windshield Washer Reservoir",1.31
4884551AA,4.00,4.00,0.25,6.67,"Throttle Body Gasket",0.02
4874378,7.50,8.00,0.75,20,"Headlight Retainer",0.10
52001161,2.50,2.50,2.00,6.58,"Control Arm Bushing",0.90
53020115,4.00,4.00,4.00,15,"Thermostat Housing",0.50
RT28009,7.75,57.50,3.25,165,"Light Bar",8.60
83504034,1.50,1.50,0.50,36.67,"Power Steering Pump Bearing",0.10
68091278AB,6.75,10.25,6.00,108.33,"Brake Master Cylinder",2.25
905594,3.00,3.00,2.00,6.33,Thermostat,0.20
RT26053,8.00,8.75,3.50,113.33,"Fuel Door",1.20
4666099AB,6.25,7.75,2.50,66.67,"Harmonic Balancer",5.19
68224732AC,4.50,12.00,3.25,30.83,"Sway Bar Link",1.00
52003933,8.00,15.00,38.00,230,Radiator,12.50
52088437,8.00,2.00,2.00,13.33,"Sway Bar Link",0.10
MFK5,13.50,14.00,3.25,43.33,"Master Filter Kit",2.80
52089343AB,4.00,4.00,4.00,19.17,"Bump Stop",0.40
4778417,6.25,6.25,6.25,106.67,"Blower Motor",3.20
52058133AC,25.75,46.00,4.75,433.33,"Transmission Crossmember",38.00
68304271AA,2.25,2.25,0.75,14.17,"Axle Shaft Seal",0.13
55135958AJ,13.00,13.50,1.50,40,"Door Weatherstrip",2.20
52125295AC,1.75,9.00,1.75,19.17,"Sway Bar Link",1.00
923068,4.50,13.00,4.50,147.33,Distributor,2.50
52005184,2.00,2.00,0.50,5.83,"Coolant Bottle Cap",0.10
53013209AC,4.25,12.00,1.00,36.67,"Accessory Drive Belt",0.50
4448896AB,11.00,20.00,0.25,13.33,"Engine Oil Pan Gasket",0.30
4626054,6.25,11.00,5.75,58.33,"Water Pump",3.40
RT26029,18.50,20.00,0.75,43.33,"Bug Screen",2.30
68031383AA,11.00,22.00,2.00,111.67,"Engine Gasket Set",2.20
56004354,8.25,12.00,7.00,491.67,Compressor,16.40
4797293,2.50,4.00,2.50,26.33,"Ignition Coil",1.10
53032701AA,3.25,3.25,1.25,63.33,"Fuel Injector",0.10
RT32003,7.50,8.25,4.75,81.67,"Wheel Spacer Set",6.40
68025360AA,4.50,16.25,3.50,33.33,"Hood Support",3.50
RT31003,13.00,13.00,4.75,240,"Brake Rotor Set",45.30
RT31022,12.00,15.50,1.50,23.33,"Parking Brake Cable",0.80
52125113AE,14.25,14.50,6.50,98.33,"Control Arm",10.00
RT27008,13.00,27.00,9.00,89.25,"Locking Center Console",13.00
RT34060,5.75,28.25,0.25,65,"Cowl Vent Cover",1.19
52002660,2.25,2.25,1.25,4,"Body Mount Bushing",0.20
5115043AG,9.00,13.00,6.00,93.33,Mirror,3.30
4781024AA,0.20,5.20,0.13,1.67,"Push Rod",0.06
68001402AA,6.00,6.50,3.00,56.67,"Timing Chain Kit",3.80
RT26047,8.50,8.50,3.00,41.67,"Stone Guard Set",1.50
34202014,1.00,1.00,0.25,1.25,"Push Nut",0.10
52060290AE,8.00,14.00,5.25,41.67,"Trailer Hitch",11.50
68017937AA,1.25,3.50,1.25,76.67,"Timing Chain Tensioner",0.40
83501827,3.00,3.00,0.12,18.33,"Power Steering Pump Vane Kit",0.10
3893982,4.00,4.00,0.25,3,"Pinion Oil Slinger",0.10
52125207AF,2.00,18.00,1.50,17.5,"Parking Brake Cable",1.90
4798120,4.00,4.00,3.50,53.33,Yoke,1.80
RT21046,6.50,10.75,6.00,133.33,"Lift Kit",10.80
4897400AC,6.75,15.75,5.75,125,"Tail Light",2.10
RT26014,0.75,1.00,0.75,5,"Jerry Can Vent Cap",0.10
68272335AB,21.00,60.00,17.00,98.33,"Fender Liner",3.00
5168166AB,6.75,10.00,6.75,63.33,Strut,10.00
52100334AG,11.50,25.50,2.00,30,"Fuel Tank Strap",1.30
