Number,Vendor,Length,Width,Height,Price,Description,Weight
5105178AG,Crown,20.00,4.00,4.00,56.67,"Shock Absorber",4.60
55176223,Crown,11.00,10.50,2.75,33.33,"Door Weatherstrip",1.10
RT31039,Crown,15.00,13.00,1.50,25,"Parking Brake Cable",0.90
RT28010,Crown,8.00,4.00,4.00,65,"Parking & Side Marker Light Kit",0.80
68003353AA,Crown,6.50,6.00,3.00,123.33,"Timing Chain Sprocket",3.10
5093511TI,Crown,9.00,4.00,3.00,41.67,"Brake Pad Set",3.00
68053132AA,Crown,2.50,2.25,2.00,10.83,"Power Steering Reservoir Cap",0.13
RT28029,Crown,7.00,4.00,4.00,40,"Parking Light Kit",0.56
53032383AB,Crown,4.00,4.00,1.00,6.33,"Throttle Body Gasket",0.10
5066064AA,Crown,2.75,2.75,1.25,4.17,"Axle Shaft Snap Ring",0.10
68080867AA,Crown,4.50,4.50,2.00,75,"Blend Door Repair Kit",0.40
SRKAX5,Crown,3.50,3.50,1.75,48.33,"Synchronizer Repair Kit",0.80
4882219,Crown,2.00,2.00,2.00,48.33,"Throttle Position Sensor",0.10
RT33013,Crown,24.00,13.00,1.50,116.67,"Vehicle Recovery Kit",21.00
5066763AA,Crown,3.50,0.13,0.13,5,"Crankshaft Support O-Ring",0.10
53032382AB,Crown,4.00,3.00,2.00,4.83,"Intake Manifold Seal",0.10
5149064AA,Crown,3.50,1.25,1.25,43.33,"Oil Pressure Sending Unit",0.10
RT20022,Crown,50.50,7.50,5.75,230,Bumper,16.50
55395653K2,Crown,5.75,5.50,2.50,50,"Hood Catch Kit",0.90
RT34034,Crown,8.00,8.00,3.75,75,"Stone Guard Set",1.50
68078268AB,Crown,77.00,25.00,18.00,233.33,Fascia,6.20
4856366,Crown,13.00,13.00,3.00,200,"Differential Gear Set",5.40
4734104,Crown,31.00,25.00,5.75,243.33,Radiator,15.10
56003010,Crown,7.50,3.25,2.00,96.67,"Parking Light",0.50
52040398,Crown,4.00,2.75,2.50,23.33,"Shackle Bracket",1.10
5184294RK,Crown,6.00,3.00,3.00,23.33,"Oil Filter Adapter Repair Kit",0.25
XY1991F,Crown,12.50,12.25,5.00,331.67,"Clutch Kit",14.60
J8132203,Crown,22.50,11.75,1.00,48.33,"Engine Gasket Set",1.00
RT21038,Crown,12.00,11.50,3.75,141.67,"Lift & Level Kit",10.50
53021538P,Crown,4.00,4.00,4.00,90,"Piston & Pin",1.40
4666033AB,Crown,17.00,7.00,0.25,23.33,"Cylinder Head Gasket",0.40
RT34029,Crown,5.00,5.00,1.00,10.83,"Footman Loop Set",2.00
53020678AC,Crown,23.00,11.00,7.00,125,"Engine Oil Pan",6.10
3190848K,Crown,25.00,2.50,0.50,15.83,"Dipstick Kit",0.25
XY1991S,Crown,14.50,14.00,4.50,308.33,"Clutch Kit",21.20
5191037AD,Crown,1.75,1.00,1.00,7.5,"Drive Shaft Bolt",0.10
RT26054,Crown,9.00,8.00,3.50,27.75,"Fuel Door",1.25
5066779AA,Crown,3.25,1.25,1.25,23.33,"Coolant Temperature Sensor",0.10
5147191AC,Crown,8.50,8.25,8.25,91.67,"Engine Mount",10.88
56009071,Crown,5.00,4.50,3.50,131.67,Clockspring,0.40
55079097AA,Crown,59.00,19.75,8.25,46.67,"Fender Liner",2.00
53022115AH,Crown,4.00,4.00,4.00,40,"Timing Chain Tensioner",0.31
6506293AA,Crown,1.00,1.00,1.00,1.67,Retainer,0.10
5012725AA,Crown,42.00,5.25,5.25,91.67,"Differential Plenum",0.30
57010185AC,Crown,13.50,9.00,8.00,108.33,Mirror,3.60
A568,Crown,6.00,5.75,1.00,10,"Leaf Spring Plate",1.30
978995K,Crown,5.00,2.00,2.00,41.67,"Windshield Weatherstrip Kit",4.10
55056382AA,Crown,6.50,2.50,0.50,6.67,"Coolant Bottle Cap",0.02
RT31004,Crown,13.00,13.00,6.00,210,"Brake Rotor Set",35.00
83501426T,Crown,2.50,2.50,2.00,7.33,Thermostat,0.10
52018176K,Crown,40.50,18.75,10.75,458.33,"Exhaust Kit",34.20
RT33009,Crown,12.75,4.50,4.00,27.5,"Receiver Kit",5.70
68029429K,Crown,4.75,2.75,2.25,81.67,"Connecting Rod Bearing Set",0.90
6503198K,Crown,8.25,1.50,0.75,20.83,"Drive Belt Tensioner Bolt & Collar",0.30
4741118,Crown,3.50,3.50,0.50,8,"Output Seal",0.10
J5462784,Crown,3.75,2.50,1.75,23.33,"Blower Motor Switch",0.10
68003569AA,Crown,3.75,3.75,1.50,55,"Axle Locker Sensor",0.19
6500911,Crown,2.50,0.75,0.75,0.83,Rivet,0.10
55360034AJ,Crown,28.50,11.25,2.50,115,"Window Regulator",3.80
83504934,Crown,13.75,7.75,5.00,400,"Ring & Pinion Kit",12.50
55026257K,Crown,64.50,13.00,7.00,141.67,"Bumper Kit",27.40
A878,Crown,1.25,0.75,0.75,1.58,"Cluster Gear Bushing",0.10
33004795,Crown,3.00,2.00,2.00,6.67,"Distributor Rotor",0.10
5017462AF,Crown,22.00,9.00,1.50,43.33,"Door Weatherstrip",3.00
4864599,Crown,15.00,3.50,1.50,63.33,"Accessory Drive Belt",0.60
5127180AA,Crown,11.50,11.00,6.00,500,"Ring & Pinion Kit",14.40
5115046AD,Crown,13.00,9.00,6.00,93.33,Mirror,3.40
931463,Crown,5.00,2.25,2.25,62.5,"Starter Drive",1.30
RT32005,Crown,8.00,7.50,4.50,83.33,"Wheel Spacer Set",7.80
K55038,Crown,11.00,11.00,8.00,658.33,"Carburetor Kit",10.30
4105409,Crown,4.00,4.00,4.00,5.83,"Oil Filter",0.70
52059730AB,Crown,44.00,19.00,6.00,483.33,"Catalytic Converter",10.00
52005285,Crown,8.50,8.50,2.50,26.67,"Pitman Arm",2.10
5016375AA,Crown,8.00,4.00,4.00,86.67,Yoke,3.70
4740834,Crown,11.00,10.50,9.00,483.33,"Differential Case Kit",16.50
5174185AC,Crown,12.00,3.00,1.50,18.33,"Sway Bar Link",0.80
RT31009,Crown,4.50,14.50,14.50,400,"Disc Brake Service Kit",42.50
52000229,Crown,4.00,4.00,1.50,7.5,"Coil Spring Isolator",0.40
8124999K,Crown,28.00,8.50,8.50,171.67,"Exhaust Manifold Kit",23.60
83500562,Crown,3.25,3.25,1.25,93.33,"Synchronizer Hub",0.80
4318138,Crown,0.75,4.00,1.00,4.17,"Spark Plug",0.10
52058995,Crown,11.50,4.00,5.00,58.33,"Transmission Mount",7.10
4638896,Crown,6.50,6.00,1.25,43.33,"Transfer Case Oil Pump",1.20
52088710AE,Crown,9.00,7.00,6.00,250,"Power Steering Pump",4.20
118432,Crown,6.00,5.75,2.75,25,"Generator Pulley",1.30
5037479AA,Crown,3.00,1.25,0.75,65,"Fuel Injector",0.10
83500632,Crown,12.00,9.00,0.12,6.67,"Transmission Gasket Set",0.10
4470365,Crown,1.50,3.75,3.75,14.17,"Steering Box Seal Kit",0.30
5033314AA,Crown,3.25,3.25,3.25,7.5,"Oil Temperature Sending Unit",0.10
4504575,Crown,3.25,3.25,1.50,38.33,"Universal Joint",1.40
RT21045,Crown,10.75,6.50,6.00,91.67,"Hd Shackle Kit",8.90
52109987AH,Crown,31.25,18.00,5.25,216.67,"Control Arm",24.50
52088355AB,Crown,21.75,5.75,4.00,56.67,"Control Arm",6.40
D300GS,Crown,12.00,9.00,1.00,25,"Transfer Case Gasket & Seal Kit",0.50
3251156K,Crown,13.00,12.50,8.00,150,"Disc Brake Service Kit",34.00
CAK2,Crown,28.00,26.50,4.50,665.87,"Control Arm Kit",48.20
55037948AD,Crown,12.00,4.00,4.00,17.5,"Radiator Hose",0.80
4666059AA,Crown,12.25,1.00,0.75,30,"Timing Chain",1.10
J3237818,Crown,1.75,1.75,0.50,8,"Differential Spider Gear Thrust Washer",0.10
4606093AE,Crown,3.50,3.25,1.50,40,"Knock Sensor",0.20
5AHFRKIT,Crown,4.00,3.00,1.00,9.17,"Fender Flare Hardware Kit",0.20
4778971,Crown,2.50,2.50,0.25,4.58,"Thermostat Housing Gasket",0.10
4167929,Crown,2.75,2.75,0.50,4.33,"Input Seal",0.10
52019480AD,Crown,26.00,10.25,5.25,316.67,"Catalytic Converter",6.50
SP149125AD,Crown,3.75,1.00,0.75,10.83,"Spark Plug",0.13
5015267AD,Crown,11.00,8.50,4.00,25,"Transmission Filter Kit",1.00
53032832AH,Crown,16.50,4.50,0.25,14.17,"Exhaust Manifold Gasket",0.40
52005739,Crown,3.25,7.00,2.00,18.33,"Tie Rod End",1.10
XY8990SA,Crown,15.00,15.00,5.00,350,"Clutch Kit",20.90
4627509AA,Crown,3.25,3.25,1.50,17,"Drive Belt Idler Pulley",0.31
68052381AA,Crown,8.00,6.00,4.25,75,"Brake Caliper",5.40
RT31030,Crown,12.00,12.00,5.00,183.33,"Brake Rotor Set",23.00
68247204AA,Crown,30.75,16.00,3.75,208.33,"A/C Condenser",7.00
46849,Crown,2.50,2.50,0.50,5,"Axle Shaft Slinger",0.02
RT27030,Crown,29.00,7.00,7.00,200,"Interior Accent Kit",5.00
4884571AB,Crown,4.00,4.00,4.00,9.67,"Thermostat Housing",0.31
55235571AB,Crown,8.00,2.50,2.50,36.67,"Door Check",0.50
52001162,Crown,3.50,20.25,3.50,36.67,"Control Arm",4.10
53013932K,Crown,13.00,5.00,0.50,14.17,"Exhaust Manifold Gasket Set",0.30
635811,Crown,1.25,1.25,0.12,1.33,"Cluster Gear Thrust Washer",0.10
A754,Crown,1.50,1.00,1.00,4.67,"Brake Shoe Eccentric",0.10
RT31033,Crown,15.00,14.50,5.00,300,"Performance Brake Kit",28.00
52089275K,Crown,14.50,14.50,5.00,291.67,"Disc Brake Service Kit",41.00
JA000837,Crown,1.75,1.50,0.75,3.33,"Tie Rod Clamp",0.10
RT31001,Crown,11.50,11.50,6.50,187.5,"Brake Rotor Set",30.00
55076469AG,Crown,21.75,20.00,3.50,93.33,"Window Regulator",4.40
68079868AA,Crown,12.50,1.50,1.25,38.33,"Wiper Arm",0.25
83501902,Crown,6.50,3.25,2.75,50,"Fuel Filter",0.90
8127071K,Crown,36.00,8.00,8.00,158.33,"Axle Shaft Assembly",22.90
RT34030,Crown,31.00,9.25,4.75,63.33,"Frame Cover",4.60
RT34063,Crown,8.50,8.50,3.00,83.33,"Stone Guard Set",1.30
52129480AC,Crown,8.00,8.00,8.00,53.33,"Engine Mount",4.31
T86AA,Crown,4.00,3.75,1.75,35,"Small Parts Kit",0.90
RT26027,Crown,8.50,8.50,3.00,51.67,"Stone Guard Set",1.50
4666153AC,Crown,21.00,10.25,10.25,216.67,"Engine Oil Pan",9.50
55366298AA,Crown,5.75,5.75,0.25,8.33,"Fuel Module Seal",0.06
CAK7,Crown,28.25,13.25,8.25,390,"Trailing Link Kit",38.80
55399290AF,Crown,35.50,1.50,1.00,53.33,"Door Glass Weatherstrip",0.80
5161320AC,Crown,24.00,12.00,6.00,66.67,"Windshield Washer Reservoir",1.31
4884551AA,Crown,4.00,4.00,0.25,6.67,"Throttle Body Gasket",0.02
4874378,Crown,8.00,7.50,0.75,20,"Headlight Retainer",0.10
52001161,Crown,2.50,2.50,2.00,6.58,"Control Arm Bushing",0.90
53020115,Crown,4.00,4.00,4.00,15,"Thermostat Housing",0.50
RT28009,Crown,57.50,7.75,3.25,165,"Light Bar",8.60
83504034,Crown,1.50,1.50,0.50,36.67,"Power Steering Pump Bearing",0.10
68091278AB,Crown,10.25,6.75,6.00,108.33,"Brake Master Cylinder",2.25
905594,Crown,3.00,3.00,2.00,6.33,Thermostat,0.20
RT26053,Crown,8.75,8.00,3.50,113.33,"Fuel Door",1.20
4666099AB,Crown,7.75,6.25,2.50,66.67,"Harmonic Balancer",5.19
68224732AC,Crown,12.00,4.50,3.25,30.83,"Sway Bar Link",1.00
52003933,Crown,15.00,8.00,38.00,230,Radiator,12.50
52088437,Crown,2.00,8.00,2.00,13.33,"Sway Bar Link",0.10
