REPLACES_PART,DESCRIPTION_NOTUPDATE,QUANTITY
J0052942          ,"BEARING, WHEEL ",53
J0052943          ,"CUP, WHEEL BEAR",52
J0052979          ,"BEARING, DIFF. ",10
J0052980          ,"CUP, BEARING   ",101
J0054153          ,"BEARING, AXLE  ",21
J0054154          ,"CUP, BEARING   ",30
J0114627          ,"NUT,BALL SOCKET",0
J0115962          ,WHEEL CYLINDER ,200
J0118343          ,"CAP, DISTRIBUTO",65
J0120125          ,ROTOR          ,24
J0120206          ,"PUMP, FUEL     ",232
J0120239          ,BRAKE SHOE KIT ,298
J0120751          ,"SEAL KIT, OIL  ",221
J0124145          ,"BOLT, 7/16-2-1/",1723
J0124824          ,"NUT, HEX       ",18536
J0131016          ,5/8 WASHER     ,5231
J0131018          ,WASHER         ,11
J0169162          ,"BALL, THROWOUT ",1735
J0273573          ,"BOLT, DIFF. COV",8578
J0274428          ,"NUT, SLOTTED   ",1586
J0339372          ,"NUT, U BOLT (7/",1827
J0349368          ,"STUD, CYLINDER ",25050
J0359039          ,"BUSHING, SPRING",1924
J0375994          ,VALVE LOCK     ,449
J0384228          ,"BOLT, SPRING   ",-28
J0445446          ,NUT            ,1044
J0630068          ,FULCRUM        ,2295
J0630112          ,"FORK, CLUTCH   ",1361
J0630117          ,"SPRING, CLUTCH ",4265
J0630305          ,"GASKET, VALVE  ",19
J0630365          ,"GASKET, TIMING ",160
J0632177          ,YOKE END       ,1731
J0634811          ,GASKET         ,537
J0634814          ,"GASKET, EXHAUST",1180
J0635394          ,"RING GEAR, FLYW",79
J0635516          ,"NUT, WHEEL     ",8596
J0636035          ,"NUT, WHEEL     ",6795
J0636344          ,"NUT, REAR AXLE ",432
J0636360          ,"PIN, DIFF.     ",481
J0636565          ,GASKET         ,1347
J0636566          ,"SLINGER, PINION",9072
J0637183          ,"VALVE, EXHAUST ",112
J0637427          ,"CLIP,BRAKE HOSE",4348
J0637432          ,"TEE, BRAKE     ",758
J0637790          ,PACKING        ,9741
J0637831          ,"SPRING, SYNCHRO",165
J0637832          ,"PLATE, SYNCHRON",22866
J0637905          ,"SPRING, BRAKE  ",7656
J0637936          ,"BUSHING, SHOCK ",3016
J0638459          ,"GEAR,CRANKSHAFT",7
J0638513          ,"NUT, CRANKSHAFT",2267
J0638540          ,"GASKET,CYL HEAD",8
J0638629          ,"MOUNT, MOTOR   ",-51
J0638636          ,"SPRING, VALVE  ",8452
J0638640          ,"GASKET, EXH.   ",218
J0639090          ,"BUSHING, STEERI",3508
J0639091          ,"BUSHING, SECTOR",3805
J0639104          ,"BALL, CHROME   ",4307
J0639422          ,ROLLER         ,5848
J0639441          ,SNAP RING      ,3290
J0639578          ,"BUSHING, PILOT ",742
J0639651          ,"CLAMP, THERMOST",451
J0639734          ,BUSHING        ,3028
J0639957          ,"GASKET, DIFF   ",659
J0639980          ,"GASKET, OIL PAN",1004
J0640178          ,TIE ROD END    ,261
J0640353          ,"CABLE, PARKING ",314
J0640374          ,FORK           ,158
J0640390          ,MAINSHAFT      ,29
J0640391          ,SYNCHRONIZER AS,28
J0640395          ,"PLATE, SYNCHRON",2996
J0640397          ,BLOCKING RING  ,265
J0640409          ,"WASHER, THRUST ",1294
J0640411          ,"WASHER, THRUST ",7154
J0640412          ,COUNTERSHAFT   ,524
J0640426          ,"GASKET,RETAINER",588
J0640428          ,"GEAR, MAIN DRIV",212
J0640694          ,"GAUGE, FUEL    ",108
J0640781          ,"BEARING, INPUT ",15
J0640786          ,ROLLERS        ,7896
J0640893          ,"WASHER, OIL RET",417
J0640945          ,WASHER         ,58
J0640959          ,"SEAL,AXLE,INNER",581
J0640965          ,"SPACER, DIFF.  ",394
J0640968          ,AXLE SHAFT     ,0
J0640969          ,"AXLE SHAFT, RIG",0
J0641282          ,"GEAR,CRANKSHAFT",7
J0641723          ,"SPRING, CLUTCH ",2806
J0641727          ,"SPRING, CLUTCH ",1097
J0641768          ,BOLT           ,18784
J0641769          ,"NUT, CONN. ROD ",186
J0641774          ,"ROD, CONNECTING",23
J0641775          ,"ROD, CONNECTING",3
J0641856          ,"PIPE, EXHAUST  ",605
J0641872          ,TAILPIPE       ,225
J0641997          ,"SPRING, BRAKE  ",5333
J0642056          ,"TIE ROD ASSY, L",44
J0642057          ,"TIE ROD ASSY, R",39
J0642058          ,"TIE ROD, LEFT  ",102
J0642059          ,TIE ROD TUBE   ,163
J0642188          ,SHAFT (1-1/8)  ,798
J0642189          ,"GEAR, INTERMEDI",28
J0642190          ,BEARING        ,841
J0642191          ,WASHER         ,1646
J0642757          ,CAP            ,41790
J0642767          ,"FORK, SHIFT    ",307
J0642770          ,"GASKET, SHIFT  ",375
J0642967          ,SHOE & LINING  ,8
J0643055          ,"SHOE SET, EMERG",240
J0643754          ,STUD           ,3786
J0643841          ,"SCREW, BLEEDER ",170
J0644340          ,"KEY, REAR AXLE ",-5
J0644366          ,CARRIER        ,943
J0644418          ,U-BOLT         ,950
J0644419          ,U-BOLT         ,312
J0645134          ,"BOOT, TIE ROD  ",6958
J0645218          ,"BOLT, HEX      ",1175
J0645544          ,"HOSE, BRAKE    ",56
J0645595          ,"BRG, CAMSHAFT  ",8
J0645623          ,"PULLEY, CRANKSH",-2
J0645662          ,"SPACER, BELL CR",2526
J0645663          ,"SEAL, BELLCRANK",1686
J0645789          ,WASHER         ,3724
J0645964          ,"PLATE, SHACKLE ",1254
J0645966          ,"BRACKET,SHACKLE",-8
J0645980          ,"SEAL, FRT. BRG ",600
J0646084          ,BEARING KIT    ,104
J0646142          ,"CABLE, PARKING ",149
J0646619          ,DRAG LINK ASSY.,150
J0646698          ,PULLEY         ,502
J0646729          ,"SHACKLE, REAR  ",-6
J0647246          ,BEARING        ,119
J0647584          ,"LINE,OIL FILTER",38
J0647585          ,"HOSE,OIL FILTER",345
J0647745          ,CARBURETOR KIT ,239
J0647801          ,"SWITCH, BRAKE  ",32
J0648061          ,"SHIM KIT, DIFFE",1237
J0648348          ,NUT            ,0
J0648360          ,"CAP, RADIATOR  ",25
J0648594          ,"BUSHING, SPRING",17184
J0648798          ,"GASKET, ROCKER ",519
J0648852          ,"GASKET, WATER  ",364
J0649228          ,"SHIM SET,PINION",670
J0649240          ,"NUT, BELL CRANK",2427
J0649454          ,"BOLT, RING GEAR",8102
J0649518          ,"BEZEL, HEADLAMP",408
J0649712          ,"COIL, IGNITION ",6
J0649778          ,"SNAP RING, AXLE",10188
J0649783          ,BUSHING        ,367
J0649784          ,"GASKET, HUB    ",1296
J0649948          ,"CYLINDER, WHEEL",113
J0654758          ,"GROMMET, FUEL  ",2355
J0663502          ,"SEAL, FILLER   ",1430
J0671045          ,WEATHERSTRIP   ,54
J0688933          ,"HINGE, LEFT    ",241
J0688934          ,"HINGE, RIGHT   ",226
J0700003          ,BEARING        ,-4
J0729376          ,CLUTCH DISC    ,6
J0733395          ,"GEAR, RING     ",0
J0733955          ,BOLT           ,290
J0734610          ,"PLATE, PRESSURE",0
J0735994          ,"PUMP, FUEL     ",4
J0745608          ,"GASKET, EXHAUST",2014
J0758977          ,"BOTTLE, COOLANT",5849
J0758977K         ,"BOTTLE & CAP, C",287
J0800093          ,"SEAL, REAR MAIN",1767
J0800293          ,"HOUSING,THERMOS",291
J0800417          ,"SPRING, VALVE  ",2
J0800823          ,"PLATE, SPRING  ",694
J0800896          ,"HOSE, BRAKE 12""",320
J0800953          ,"HOSE, BRAKE 6"" ",422
J0800986          ,"SEAL, VALVE    ",2063
J0801042          ,SNUBBER        ,1278
J0801058          ,"BOOT, SHIFT    ",771
J0801332          ,SPRING         ,1478
J0801345          ,GASKET SET     ,238
J0801367          ,"NUT, PINION    ",6027
J0801422          ,BEARING ASSY   ,1187
J0801538          ,PISTON & PIN.02,8
J0801539          ,"PISTON & PIN, .",4
J0801816          ,"SEAL, SECTOR   ",4531
J0802030          ,GASKET SET     ,151
J0802040          ,"LINE, FLEX FUEL",943
J0802061          ,SHACKLE KIT    ,433
J0802062          ,SHACKLE KIT    ,375
J0802414          ,SPACER         ,3549
J0802561          ,"LOCK, STRAP    ",678
J0802925          ,"RING GEAR, FLYW",197
J0802951          ,"CYLINDER, WHEEL",261
J0803358          ,SPRING         ,4051
J0803639          ,"CYLINDER, WHEEL",356
J0803640          ,"CYLINDER, WHEEL",301
J0803641          ,"CYLINDER, WHEEL",16
J0804484          ,"PUMP, OIL      ",-1
J0804533          ,"SHAFT, SECTOR  ",436
J0804622          ,"ROD, PUSH      ",109
J0804746          ,"PLATE, PRESSURE",655
J0805123          ,SECTOR SHAFT KI,305
J0805150          ,"SEAL, HUB      ",367
J0805311          ,"BEARING, DIFF. ",0
J0805328          ,"BEARING, PINION",14
J0805329          ,"CUP, PINION    ",0
J0805376          ,"ARM, ROCKER    ",2685
J0805524          ,"SHIM SET, AXLE ",979
J0805592          ,ECCENTRIC      ,2933
J0805602          ,"SPRING, BRAKE  ",1948
J0805635          ,PLATE          ,73
J0805693          ,TRANSMISSION KI,41
J0805730          ,"BOLT, CYL. HEAD",556
J0805783          ,"KNUCKLE, LEFT H",0
J0805784          ,"KNUCKLE, RIGHT ",7
J0806483          ,SHIM SET       ,801
J0807036          ,"GASKET, HEAD   ",265
J0807266          ,"BEARING, PINION",57
J0807376          ,SHOE & LINING  ,228
J0807476          ,GASKET         ,254
J0807478          ,"SHAFT, SECTOR  ",478
J0807693          ,"YOKE, U-JOINT  ",2
J0807767          ,MAINSHAFT      ,11
J0807885          ,CARBURETOR KIT ,57
J0808591          ,"RING, STRG.WORM",382
J0808770          ,"DRUM, BRAKE    ",253
J0808988          ,U-BOLT         ,594
J0809189          ,TIE ROD END    ,645
J0809190          ,TIE ROD END L.H,2215
J0809191          ,TIE ROD END    ,440
J0809291          ,"GEAR, FRONT OUT",23
J0809293          ,"GEAR, INTERMEDI",-1
J0809294          ,ROLLER BEARING ,60407
J0809295          ,"SPACER, INTER. ",2930
J0809297          ,GEAR (29/15/6-S,23
J0810584          ,GASKET SET     ,529
J0811351          ,"HUB, REAR      ",148
J0811681          ,"SWITCH, DIMMER ",177
J0812050          ,THERMOSTAT     ,51
J0906197          ,"GEAR, SECOND   ",88
J0906199          ,"GEAR, LOW & REV",120
J0906200          ,"GEAR, CLUSTER  ",349
J0906201          ,"RETAINER, MAIN ",52
J0906203          ,"GEAR, MAIN DRIV",-1
J0906750          ,"CABLE, HAND BRA",829
J0906779          ,"HOSE, RADIATOR ",4
J0907107          ,"BOOT, SHIFTER  ",192
J0908005          ,"SEAL, STEERING ",752
J0908006          ,"PLATE, STEERING",9220
J0908226          ,"SEAL KIT, STRG.",456
J0908331          ,GEAR & PINION  ,28
J0908333          ,DIFFERENTIAL GE,36
J0908593          ,"CAP, GAS       ",2286
J0909222          ,U-BOLT         ,195
J0909405          ,"AXLE SHAFT, REA",241
J0909460          ,"AXLE SHAFT, RIG",1
J0909548          ,HUB ASSY       ,0
J0909889          ,"SPRING, BRAKE  ",5414
J0910290          ,"HOSE,OIL FILTER",301
J0910901          ,"CAP, KING PIN  ",0
J0911467          ,LEVER & TUBE   ,460
J0911693          ,"CABLE, HAND BRA",10
J0911814          ,"ROD, CLUTCH    ",2557
J0912008          ,"TANK, FUEL     ",-25
J0912017          ,"PUMP, FUEL     ",532
J0912340          ,"BLOCKING RING, ",76
J0912345          ,ROLLERS        ,3514
J0912354          ,ROLLER         ,7474
J0912625          ,"AXLE SHAFT, LEF",110
J0912626          ,"AXLE SHAFT, RIG",35
J0912647          ,"HUB, REAR      ",353
J0912703          ,STUD           ,1881
J0914223          ,"SHAFT,BELLCRANK",464
J0914802          ,"SEAL,OUTER AXLE",2167
J0914850          ,"FLOAT, FUEL    ",192
J0914946          ,"KNOB, GEARSHIFT",1961
